,Goals,Expected,Launched,Passes,Goal Kicks,Crosses,Sweeper,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Alisson,br BRA,GK,Liverpool,32-116,1992,13.9,12,0,0,1,0,12.1,0.29,0.1,0,28,78,35.9,386,53,18.9,25,34,14.7,22.6,116,4,3.4,23,1.66,15.8,Matches,,,,,,,,,
2,Alphonse Areola,fr FRA,GK,West Ham,31-334,1993,10.1,23,0,0,2,2,16.1,0.3,-4.9,-0.48,66,146,45.2,314,43,32.5,31.1,89,49.4,38.8,152,9,5.9,13,1.29,13.7,Matches,,,,,,,,,
3,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-115,1994,16,19,1,0,2,0,21.7,0.28,2.7,0.17,84,204,41.2,391,58,35,33.8,117,57.3,43,207,11,5.3,25,1.56,15.1,Matches,,,,,,,,,
4,Brandon Austin,eng ENG,GK,Tottenham,26-018,1999,1,2,0,0,0,0,2.2,0.55,0.2,0.2,3,11,27.3,26,5,38.5,32.3,6,16.7,29,15,5,33.3,2,2,12.4,Matches,,,,,,,,,
5,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-011,1989,8,6,0,0,0,0,8.7,0.29,2.7,0.33,14,63,22.2,215,35,17.7,25.6,45,55.6,42.8,96,7,7.3,8,1,15.4,Matches,,,,,,,,,
6,Ederson,br BRA,GK,Manchester City,31-162,1993,15,20,2,0,1,1,21.4,0.38,2.4,0.16,52,115,45.2,514,53,20,28.3,44,27.3,32.8,119,9,7.6,27,1.8,17.2,Matches,,,,,,,,,
7,Łukasz Fabiański,pl POL,GK,West Ham,39-283,1985,11.9,20,3,1,3,0,22.3,0.3,2.3,0.19,69,205,33.7,359,52,41.5,35.4,94,59.6,44.4,198,7,3.5,11,0.93,13.7,Matches,,,,,,,,,
8,Mark Flekken,nl NED,GK,Brentford,31-227,1993,21.4,39,1,0,2,1,37.1,0.27,-0.9,-0.04,140,372,37.6,938,72,32,33.7,115,62.6,49.9,356,25,7,23,1.08,11.8,Matches,,,,,,,,,
9,Fraser Forster,eng ENG,GK,Tottenham,36-315,1988,7,15,2,0,1,0,16.5,0.36,1.5,0.21,11,31,35.5,141,30,21.3,27.2,56,1.8,14.6,81,4,4.9,3,0.43,11.1,Matches,,,,,,,,,
10,Dean Henderson,eng ENG,GK,Crystal Palace,27-320,1997,22,28,0,0,2,2,28.8,0.34,2.8,0.13,90,352,25.6,555,69,47.7,38.3,164,53,43.6,321,17,5.3,27,1.23,15.3,Matches,,,,,,,,,
11,Mads Hermansen,dk DEN,GK,Leicester City,24-199,2000,15.5,31,1,0,2,2,34.8,0.37,5.8,0.37,68,247,27.5,500,87,36.8,33.8,93,67.7,47.1,267,18,6.7,14,0.9,12.9,Matches,,,,,,,,,
12,Vitezslav Jaros,cz CZE,GK,Liverpool,23-187,2001,0.1,0,0,0,0,0,0,0.03,0,0.25,5,7,71.4,7,2,85.7,50.9,1,100,59,2,0,0,0,0,11,Matches,,,,,,,,,
13,Sam Johnstone,eng ENG,GK,Wolves,31-307,1993,7,17,2,0,5,1,13,0.29,-3,-0.43,52,129,40.3,252,28,45.6,36.6,25,56,43.2,104,8,7.7,11,1.57,13.4,Matches,,,,,,,,,
