,SCA,SCA Types,GCA,GCA Types,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90
Max Aarons,engENG,DF,Bournemouth,25-039,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joshua Acheampong,engENG,DF,Chelsea,18-283,2006,1.8,1,0.56,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tyler Adams,usUSA,MF,Bournemouth,25-364,1999,9.6,19,1.97,15,0,0,0,0,4,4,0.42,3,0,0,0,0,1,Matches
Tosin Adarabioyo,engENG,DF,Chelsea,27-141,1997,9.1,9,0.99,5,0,0,4,0,0,0,0.00,0,0,0,0,0,0,Matches
Simon Adingra,ciCIV,"FW,MF",Brighton,23-042,2002,6.6,21,3.16,15,0,4,2,0,0,3,0.45,2,0,1,0,0,0,Matches
Emmanuel Agbadou,ciCIV,DF,Wolves,27-240,1997,4.0,3,0.75,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Asher Agbinone,engENG,MF,Crystal Palace,19-137,2005,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ola Aina,ngNGA,DF,Nott'ham Forest,28-127,1996,23.1,42,1.82,34,5,1,1,0,1,2,0.09,1,0,0,0,0,1,Matches
Rayan Aït-Nouri,dzALG,DF,Wolves,23-251,2001,21.7,42,1.93,28,5,4,3,1,1,7,0.32,5,1,0,0,0,1,Matches
Kristoffer Ajer,noNOR,DF,Brentford,26-301,1998,8.8,13,1.48,11,0,1,1,0,0,2,0.23,2,0,0,0,0,0,Matches
Manuel Akanji,chSUI,DF,Manchester City,29-208,1995,19.0,34,1.79,34,0,0,0,0,0,2,0.11,2,0,0,0,0,0,Matches
Nathan Aké,nlNED,DF,Manchester City,29-360,1995,6.7,6,0.90,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Carlos Alcaraz,arARG,MF,Southampton,22-074,2002,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Trent Alexander-Arnold,engENG,DF,Liverpool,26-128,1998,19.3,76,3.94,59,14,1,2,0,0,10,0.52,9,1,0,0,0,0,Matches
Alisson,brBRA,GK,Liverpool,32-133,1992,14.9,5,0.34,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Miguel Almirón,pyPAR,FW,Newcastle Utd,31-002,1994,1.7,8,4.59,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Edson Álvarez,mxMEX,MF,West Ham,27-111,1997,13.7,22,1.61,19,0,2,1,0,0,2,0.15,2,0,0,0,0,0,Matches
Will Alves,engENG,FW,Leicester City,20-009,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Samuel Amo-Ameyaw,engENG,"FW,DF",Southampton,18-209,2006,0.3,2,6.43,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Joachim Andersen,dkDEN,DF,Crystal Palace,28-257,1996,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joachim Andersen,dkDEN,DF,Fulham,28-257,1996,14.7,12,0.82,8,1,0,3,0,0,1,0.07,0,1,0,0,0,0,Matches
Elliot Anderson,engENG,MF,Nott'ham Forest,22-098,2002,17.2,64,3.71,29,17,7,6,2,3,9,0.52,3,3,0,1,1,1,Matches
André,brBRA,MF,Wolves,23-211,2001,14.6,26,1.78,21,3,0,0,0,2,2,0.14,1,1,0,0,0,0,Matches
Michail Antonio,jmJAM,FW,West Ham,34-321,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0,Matches
Antony,brBRA,"DF,MF",Manchester Utd,24-354,2000,1.6,8,5.11,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Julian Araujo,mxMEX,DF,Bournemouth,23-183,2001,3.9,2,0.51,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Cameron Archer,engENG,FW,Southampton,23-206,2001,11.6,13,1.12,6,0,3,3,1,0,0,0.00,0,0,0,0,0,0,Matches
Alphonse Areola,frFRA,GK,West Ham,31-351,1993,12.1,1,0.08,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joe Aribo,ngNGA,MF,Southampton,28-206,1996,16.3,31,1.91,27,0,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Adam Armstrong,engENG,"FW,MF",Southampton,28-002,1997,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,Matches
Harrison Armstrong,engENG,MF,Everton,18-024,2007,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kepa Arrizabalaga,esESP,GK,Bournemouth,30-132,1994,17.0,3,0.18,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Brandon Austin,engENG,GK,Tottenham,26-035,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Taiwo Awoniyi,ngNGA,FW,Nott'ham Forest,27-184,1997,2.9,8,2.79,5,0,1,1,1,0,1,0.35,0,0,0,1,0,0,Matches
Yasin Ayari,seSWE,MF,Brighton,21-129,2003,14.1,40,2.84,20,10,3,3,3,1,4,0.28,3,1,0,0,0,0,Matches
Jordan Ayew,ghGHA,"FW,MF",Crystal Palace,33-154,1991,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jordan Ayew,ghGHA,"FW,MF",Leicester City,33-154,1991,13.0,25,1.92,15,6,1,2,0,1,1,0.08,1,0,0,0,0,0,Matches
Benoît Badiashile,frFRA,DF,Chelsea,23-323,2001,2.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Leon Bailey,jmJAM,"FW,MF",Aston Villa,27-187,1997,11.5,36,3.14,23,1,6,3,3,0,4,0.35,4,0,0,0,0,0,Matches
Carlos Baleba,cmCMR,MF,Brighton,21-040,2004,16.9,41,2.43,38,0,1,1,0,1,3,0.18,2,0,0,0,0,1,Matches
Ross Barkley,engENG,MF,Aston Villa,31-069,1993,6.2,16,2.60,13,1,2,0,0,0,3,0.49,3,0,0,0,0,0,Matches
Harvey Barnes,engENG,FW,Newcastle Utd,27-065,1997,8.7,31,3.55,20,1,3,3,4,0,4,0.46,2,0,1,0,1,0,Matches
Calvin Bassey,ngNGA,DF,Fulham,25-043,1999,23.0,14,0.61,10,1,2,0,0,1,2,0.09,1,0,0,0,0,1,Matches
Jan Bednarek,plPOL,DF,Southampton,28-306,1996,19.8,14,0.71,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Jean-Ricner Bellegarde,frFRA,"MF,FW",Wolves,26-230,1998,10.5,31,2.95,18,1,3,3,4,2,4,0.38,3,0,0,0,0,1,Matches
Rodrigo Bentancur,uyURU,MF,Tottenham,27-232,1997,9.6,23,2.38,18,0,1,3,0,1,1,0.10,1,0,0,0,0,0,Matches
Sander Berge,noNOR,MF,Fulham,26-364,1998,13.6,24,1.76,22,0,0,0,0,2,1,0.07,1,0,0,0,0,0,Matches
Lucas Bergvall,seSWE,MF,Tottenham,19-010,2006,6.7,9,1.33,7,2,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
Victor Bernth Kristiansen,dkDEN,DF,Leicester City,22-058,2002,20.5,32,1.56,24,5,1,0,2,0,3,0.15,3,0,0,0,0,0,Matches
Beto,gwGNB,FW,Everton,27-012,1998,4.5,5,1.11,1,0,2,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Philip Billing,dkDEN,MF,Bournemouth,28-246,1996,2.0,16,7.83,13,0,0,1,0,2,0,0.00,0,0,0,0,0,0,Matches
Yves Bissouma,mlMLI,MF,Tottenham,28-166,1996,11.5,13,1.13,12,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Lamare Bogarde,nlNED,"DF,MF",Aston Villa,21-038,2004,3.9,9,2.32,7,1,0,0,0,1,1,0.26,1,0,0,0,0,0,Matches
Willy Boly,ciCIV,DF,Nott'ham Forest,34-009,1991,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sven Botman,nlNED,DF,Newcastle Utd,25-031,2000,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jarrod Bowen,engENG,"FW,MF",West Ham,28-054,1996,19.4,82,4.23,48,12,5,10,5,2,9,0.46,5,2,1,1,0,0,Matches
Conor Bradley,nirNIR,DF,Liverpool,21-218,2003,2.9,7,2.41,4,0,2,0,1,0,1,0.34,1,0,0,0,0,0,Matches
Jarrad Branthwaite,engENG,DF,Everton,22-230,2002,14.1,11,0.78,10,0,0,0,1,0,1,0.07,1,0,0,0,0,0,Matches
James Bree,engENG,DF,Southampton,27-124,1997,7.4,12,1.63,9,2,0,1,0,0,1,0.14,1,0,0,0,0,0,Matches
Ben Brereton,clCHI,FW,Southampton,25-300,1999,5.0,9,1.80,7,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Nathan Broadhead,wlsWAL,"FW,MF",Ipswich Town,26-313,1998,4.2,12,2.85,10,0,2,0,0,0,1,0.24,1,0,0,0,0,0,Matches
Armando Broja,alALB,FW,Everton,23-155,2001,1.8,4,2.26,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
David Brooks,wlsWAL,FW,Bournemouth,27-219,1997,6.4,26,4.09,21,2,2,1,0,0,1,0.16,0,0,0,1,0,0,Matches
Emi Buendía,arARG,"MF,FW",Aston Villa,28-049,1996,1.1,3,2.76,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Santiago Bueno,uyURU,DF,Wolves,26-095,1998,14.8,11,0.74,9,1,0,0,0,1,4,0.27,3,0,0,0,0,1,Matches
Facundo Buonanotte,arARG,"FW,MF",Leicester City,20-051,2004,12.7,44,3.46,24,10,8,1,1,0,4,0.31,1,2,1,0,0,0,Matches
Cameron Burgess,auAUS,DF,Ipswich Town,29-114,1995,10.0,6,0.60,6,0,0,0,0,0,2,0.20,2,0,0,0,0,0,Matches
Dan Burn,engENG,DF,Newcastle Utd,32-279,1992,23.0,13,0.57,9,1,0,2,1,0,3,0.13,2,1,0,0,0,0,Matches
Wes Burns,wlsWAL,"FW,DF",Ipswich Town,30-081,1994,10.3,16,1.55,12,0,1,1,2,0,1,0.10,1,0,0,0,0,0,Matches
Moisés Caicedo,ecECU,MF,Chelsea,23-102,2001,23.6,67,2.84,59,0,0,0,2,6,6,0.25,5,0,0,0,1,0,Matches
Tom Cairney,sctSCO,MF,Fulham,34-023,1991,4.4,23,5.19,21,1,0,0,1,0,2,0.45,2,0,0,0,0,0,Matches
