,Performance,Aerial Duels,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-022,2000,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,Matches,,,,
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-266,2006,1.8,0,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,Matches,,,,
3,Tyler Adams,us USA,MF,Bournemouth,25-347,1999,8.6,4,0,0,18,8,0,0,23,29,0,1,0,39,13,7,65.0,Matches,,,,
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-124,1997,8.1,2,0,0,4,2,1,0,3,9,0,0,0,24,19,12,61.3,Matches,,,,
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-025,2002,6.1,0,0,0,9,0,0,18,6,6,0,0,0,30,3,1,75.0,Matches,,,,
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-223,1997,3.0,1,0,0,0,1,1,0,3,8,0,0,0,23,7,4,63.6,Matches,,,,
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-120,2005,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,Matches,,,,
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-110,1996,22.1,2,0,0,14,25,2,33,28,34,0,0,0,129,8,14,36.4,Matches,,,,
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-234,2001,20.9,6,1,1,22,22,2,45,15,31,0,0,0,96,12,19,38.7,Matches,,,,
10,Kristoffer Ajer,no NOR,DF,Brentford,26-284,1998,8.0,3,0,0,8,4,0,6,6,7,0,0,0,21,13,13,50.0,Matches,,,,
11,Manuel Akanji,ch SUI,DF,Manchester City,29-191,1995,18.0,3,0,0,15,9,0,11,6,10,0,0,0,83,21,29,42.0,Matches,,,,
12,Nathan Aké,nl NED,DF,Manchester City,29-343,1995,6.7,0,0,0,2,0,0,1,3,7,0,0,0,22,13,10,56.5,Matches,,,,
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-057,2002,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0,Matches,,,,
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-111,1998,18.5,4,0,0,9,6,1,128,23,35,0,0,0,98,2,11,15.4,Matches,,,,
15,Alisson,br BRA,GK,Liverpool,32-116,1992,13.9,0,0,0,0,1,0,0,0,0,0,0,0,23,5,0,100.0,Matches,,,,
16,Miguel Almirón,py PAR,FW,Newcastle Utd,30-351,1994,1.7,0,0,0,1,3,2,0,0,2,0,0,0,4,0,2,0.0,Matches,,,,
17,Edson Álvarez,mx MEX,MF,West Ham,27-094,1997,12.7,7,1,1,24,15,0,3,13,16,0,0,0,66,18,12,60.0,Matches,,,,
18,Will Alves,eng ENG,FW,Leicester City,19-358,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,,,,
19,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-192,2006,0.3,1,0,0,1,2,0,2,0,0,0,0,0,1,0,1,0.0,Matches,,,,
20,Joachim Andersen,dk DEN,DF,Crystal Palace,28-240,1996,1.0,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100.0,Matches,,,,
21,Joachim Andersen,dk DEN,DF,Fulham,28-240,1996,12.7,2,1,0,11,10,0,3,15,8,0,0,0,60,27,22,55.1,Matches,,,,
