,Performance,Aerial Duels,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,24,24.0,53,4,2,270,257,53,489,154,240,2,2,0,922,310,296,51.2,,,
Aston Villa,25,24.0,53,2,1,287,319,32,383,163,241,3,2,0,909,238,260,47.8,,,
Bournemouth,28,24.0,61,0,0,324,241,45,519,232,275,7,2,0,1209,339,397,46.1,,,
Brentford,27,24.0,35,1,0,184,216,47,430,187,250,4,1,2,1042,399,358,52.7,,,
Brighton,30,24.0,54,1,1,286,270,25,454,194,254,1,6,2,1066,317,293,52.0,,,
Chelsea,27,24.0,71,1,1,280,286,40,398,174,240,3,6,0,995,248,244,50.4,,,
Crystal Palace,26,24.0,48,1,0,260,267,40,394,206,301,2,2,2,1119,345,419,45.2,,,
Everton,24,23.0,48,1,0,268,229,59,389,212,270,0,2,0,965,339,324,51.1,,,
Fulham,25,24.0,55,2,0,263,249,30,551,213,245,3,1,1,1006,314,337,48.2,,,
Ipswich Town,31,24.0,60,2,2,281,248,34,318,207,212,2,5,0,940,344,340,50.3,,,
Leicester City,28,24.0,56,0,0,267,247,40,384,206,275,2,1,2,952,335,345,49.3,,,
Liverpool,24,23.0,48,1,0,264,222,29,460,181,241,4,1,0,1014,254,196,56.4,,,
Manchester City,26,24.0,46,1,1,175,235,29,430,145,191,2,3,1,903,195,205,48.8,,,
Manchester Utd,25,24.0,57,2,1,268,227,46,361,257,299,3,4,1,1096,285,302,48.6,,,
Newcastle Utd,24,24.0,48,1,0,246,311,51,428,184,237,3,0,1,1080,295,288,50.6,,,
Nott'ham Forest,23,24.0,55,2,2,254,272,63,366,224,272,3,1,0,998,360,351,50.6,,,
Southampton,33,24.0,69,3,0,298,282,34,372,190,238,2,4,0,901,298,243,55.1,,,
Tottenham,29,24.0,46,1,1,263,311,42,507,205,285,1,2,2,1100,272,286,48.7,,,
West Ham,26,24.0,57,3,2,281,241,49,381,215,255,2,3,3,1021,368,351,51.2,,,
Wolves,26,24.0,55,2,2,323,248,47,341,200,301,0,6,3,1037,276,296,48.3,,,
