,Total,Short,Medium,Long,,Expected,,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,24,23.0,9967,11946,83.4,165242,52549,4991,5469,91.3,4119,4659,88.4,681,1303,52.3,32,28.3,27.9,+3.7,250,809,249,44,1052,,,,,,,,
Aston Villa,23,22.0,8516,10285,82.8,147314,51495,3843,4271,90.0,3867,4342,89.1,646,1184,54.6,25,23.8,22.0,+1.2,205,638,179,31,732,,,,,,,,
Bournemouth,28,23.0,7386,9735,75.9,136446,52809,3153,3669,85.9,3293,3908,84.3,816,1707,47.8,30,29.7,23.3,+0.3,285,730,200,52,919,,,,,,,,
Brentford,26,22.0,8023,10183,78.8,145057,54634,3575,4099,87.2,3513,4123,85.2,800,1530,52.3,26,26.3,22.2,-0.3,190,635,170,43,804,,,,,,,,
Brighton,30,23.0,9778,11772,83.1,167542,57473,4653,5138,90.6,4084,4642,88.0,832,1462,56.9,22,22.1,22.5,-0.1,226,724,199,54,971,,,,,,,,
Chelsea,27,23.0,11057,13036,84.8,190413,60645,4979,5437,91.6,5007,5540,90.4,848,1511,56.1,34,35.4,27.0,-1.4,279,885,205,38,950,,,,,,,,
Crystal Palace,25,22.0,7302,9579,76.2,132756,49217,3134,3649,85.9,3347,3946,84.8,697,1526,45.7,19,23.4,18.4,-4.4,221,561,160,39,725,,,,,,,,
Everton,24,22.0,6433,8482,75.8,121972,48967,2870,3306,86.8,2585,3064,84.4,869,1675,51.9,9,16.4,15.5,-7.4,175,601,144,47,602,,,,,,,,
Fulham,25,22.0,9678,11774,82.2,170935,57345,4362,4855,89.8,4247,4823,88.1,891,1576,56.5,29,24.5,21.9,+4.5,246,780,205,62,910,,,,,,,,
Ipswich Town,31,23.0,7064,9068,77.9,124044,46808,3287,3707,88.7,3008,3530,85.2,631,1352,46.7,14,14.7,13.6,-0.7,161,519,99,29,548,,,,,,,,
Leicester City,27,22.0,8294,10322,80.4,137199,50571,4118,4579,89.9,3316,3825,86.7,636,1343,47.4,18,17.1,17.8,+0.9,157,600,133,39,645,,,,,,,,
Liverpool,24,22.0,10878,12875,84.5,181981,61499,5297,5753,92.1,4552,5141,88.5,785,1428,55.0,42,38.4,33.5,+3.6,306,940,281,57,1145,,,,,,,,
Manchester City,26,23.0,13171,14928,88.2,212683,60239,6861,7398,92.7,5366,5856,91.6,765,1203,63.6,34,36.3,35.5,-2.3,321,984,286,45,1209,,,,,,,,
Manchester Utd,25,22.0,10035,12080,83.1,164978,53814,4968,5480,90.7,4078,4579,89.1,714,1385,51.6,19,25.0,20.6,-6.0,237,678,173,36,805,,,,,,,,
Newcastle Utd,24,23.0,9463,11600,81.6,157654,56793,4692,5259,89.2,3912,4439,88.1,677,1369,49.5,31,31.4,27.2,-0.4,254,702,219,39,947,,,,,,,,
Nott'ham Forest,23,23.0,6402,8565,74.7,107903,44544,3328,3823,87.1,2216,2787,79.5,617,1383,44.6,24,20.1,19.1,+3.9,208,523,138,31,647,,,,,,,,
Southampton,31,23.0,10238,12057,84.9,170995,54312,4913,5361,91.6,4407,4891,90.1,695,1301,53.4,11,17.5,16.6,-6.5,175,662,148,37,744,,,,,,,,
Tottenham,28,22.0,10136,12176,83.2,166773,57038,4781,5301,90.2,4443,4996,88.9,627,1171,53.5,34,29.4,24.8,+4.6,237,809,251,47,1047,,,,,,,,
West Ham,26,22.0,8113,10189,79.6,145057,52258,3701,4228,87.5,3461,4010,86.3,822,1515,54.3,15,20.3,18.9,-5.3,210,605,159,41,716,,,,,,,,
Wolves,26,23.0,8302,10429,79.6,146127,50345,3819,4310,88.6,3451,3949,87.4,821,1599,51.3,27,19.9,14.3,+7.1,187,627,176,44,717,,,,,,,,
