,Touches,Take-Ons,Carries,Receiving,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC
Max Aarons,engENG,DF,Bournemouth,25-039,2000,1.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,Matches
Joshua Acheampong,engENG,DF,Chelsea,18-283,2006,1.8,124,7,43,75,6,3,124,2,1,50.0,0,0.0,96,650,377,0,2,0,2,0,100,0,Matches
Tyler Adams,usUSA,MF,Bournemouth,25-364,1999,9.6,541,24,142,304,101,8,541,9,2,22.2,5,55.6,262,1163,513,7,11,1,12,7,278,4,Matches
Tosin Adarabioyo,engENG,DF,Chelsea,27-141,1997,9.1,820,105,408,400,13,9,820,2,2,100.0,0,0.0,521,2152,1241,5,1,0,1,0,641,1,Matches
Simon Adingra,ciCIV,"FW,MF",Brighton,23-042,2002,6.6,305,5,50,93,167,36,305,31,13,41.9,18,58.1,203,1351,627,22,14,11,26,6,206,76,Matches
Emmanuel Agbadou,ciCIV,DF,Wolves,27-240,1997,4.0,250,44,146,99,8,0,250,6,5,83.3,1,16.7,134,693,300,1,2,0,2,1,134,0,Matches
Asher Agbinone,engENG,MF,Crystal Palace,19-137,2005,0.1,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1,Matches
Ola Aina,ngNGA,DF,Nott'ham Forest,28-127,1996,23.1,1213,105,445,500,290,18,1213,50,24,48.0,17,34.0,529,3472,2033,47,30,9,29,16,573,45,Matches
Rayan Aït-Nouri,dzALG,DF,Wolves,23-251,2001,21.7,1288,66,366,566,375,49,1288,73,36,49.3,24,32.9,680,3958,2166,54,38,16,22,26,783,104,Matches
Kristoffer Ajer,noNOR,DF,Brentford,26-301,1998,8.8,466,32,168,214,89,21,466,10,5,50.0,5,50.0,253,1460,859,17,7,1,11,9,306,22,Matches
Manuel Akanji,chSUI,DF,Manchester City,29-208,1995,19.0,1591,108,472,773,348,11,1591,2,2,100.0,0,0.0,1041,5502,3286,38,52,0,4,5,1258,6,Matches
Nathan Aké,nlNED,DF,Manchester City,29-360,1995,6.7,519,47,186,277,57,4,519,1,1,100.0,0,0.0,344,1912,1263,11,11,1,2,3,383,2,Matches
Carlos Alcaraz,arARG,MF,Southampton,22-074,2002,0.1,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1,Matches
Trent Alexander-Arnold,engENG,DF,Liverpool,26-128,1998,19.3,1615,64,403,689,531,33,1615,21,9,42.9,11,52.4,844,4045,2123,41,30,7,17,15,1026,76,Matches
Alisson,brBRA,GK,Liverpool,32-133,1992,14.9,485,339,474,11,0,0,485,1,1,100.0,0,0.0,316,1219,723,0,0,0,0,0,295,0,Matches
Miguel Almirón,pyPAR,FW,Newcastle Utd,31-002,1994,1.7,81,1,10,35,36,9,81,2,1,50.0,1,50.0,54,284,93,3,3,2,0,2,59,18,Matches
Edson Álvarez,mxMEX,MF,West Ham,27-111,1997,13.7,835,52,257,457,128,8,835,24,11,45.8,9,37.5,460,2500,1149,14,13,2,19,11,554,14,Matches
Will Alves,engENG,FW,Leicester City,20-009,2005,0.0,1,0,0,0,1,0,1,0,0,,0,,1,5,5,0,0,0,0,0,1,1,Matches
Samuel Amo-Ameyaw,engENG,"FW,DF",Southampton,18-209,2006,0.3,16,0,5,5,7,1,16,4,0,0.0,3,75.0,11,98,68,1,0,1,0,2,11,3,Matches
Joachim Andersen,dkDEN,DF,Crystal Palace,28-257,1996,1.0,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1,Matches
Joachim Andersen,dkDEN,DF,Fulham,28-257,1996,14.7,1197,160,617,539,50,12,1197,3,3,100.0,0,0.0,708,3055,1493,8,6,1,2,1,841,1,Matches
Elliot Anderson,engENG,MF,Nott'ham Forest,22-098,2002,17.2,1010,56,247,445,336,46,1010,53,27,50.9,20,37.7,518,2838,1372,32,23,12,38,22,587,59,Matches
André,brBRA,MF,Wolves,23-211,2001,14.6,777,65,239,473,69,1,777,15,7,46.7,5,33.3,397,1653,737,5,8,0,14,11,507,4,Matches
Michail Antonio,jmJAM,FW,West Ham,34-321,1990,9.3,296,3,26,124,151,36,296,27,9,33.3,13,48.1,173,1177,695,29,13,9,35,19,221,59,Matches
Antony,brBRA,"DF,MF",Manchester Utd,24-354,2000,1.6,101,2,22,26,54,8,101,11,4,36.4,6,54.5,60,317,182,5,6,1,5,1,69,7,Matches
Julian Araujo,mxMEX,DF,Bournemouth,23-183,2001,3.9,200,15,68,103,32,1,200,0,0,,0,,84,290,138,2,0,0,4,2,100,11,Matches
Cameron Archer,engENG,FW,Southampton,23-206,2001,11.6,275,11,44,121,113,43,274,25,11,44.0,13,52.0,153,796,359,15,4,12,27,18,189,46,Matches
Alphonse Areola,frFRA,GK,West Ham,31-351,1993,12.1,511,416,506,5,0,0,511,0,0,,0,,279,1154,587,0,0,0,0,0,260,0,Matches
Joe Aribo,ngNGA,MF,Southampton,28-206,1996,16.3,893,30,191,475,236,37,893,40,14,35.0,21,52.5,504,2747,1437,29,20,10,19,13,649,54,Matches
Adam Armstrong,engENG,"FW,MF",Southampton,28-002,1997,13.9,377,11,44,143,192,49,376,14,6,42.9,8,57.1,235,1324,599,25,13,6,11,18,286,79,Matches
Harrison Armstrong,engENG,MF,Everton,18-024,2007,0.5,20,0,3,12,7,2,20,1,1,100.0,0,0.0,15,110,43,1,2,0,2,3,14,0,Matches
Kepa Arrizabalaga,esESP,GK,Bournemouth,30-132,1994,17.0,576,449,568,8,0,0,576,0,0,,0,,324,1654,939,0,0,0,0,0,238,0,Matches
Brandon Austin,engENG,GK,Tottenham,26-035,1999,1.0,36,30,36,0,0,0,36,0,0,,0,,22,104,46,0,0,0,0,0,16,0,Matches
Taiwo Awoniyi,ngNGA,FW,Nott'ham Forest,27-184,1997,2.9,116,3,11,51,55,20,116,5,2,40.0,3,60.0,61,280,137,5,4,2,16,10,75,13,Matches
Yasin Ayari,seSWE,MF,Brighton,21-129,2003,14.1,795,39,182,400,226,34,795,35,14,40.0,13,37.1,412,2042,895,19,12,5,26,18,513,51,Matches
Jordan Ayew,ghGHA,"FW,MF",Crystal Palace,33-154,1991,0.2,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1,Matches
Jordan Ayew,ghGHA,"FW,MF",Leicester City,33-154,1991,13.0,565,14,80,288,214,40,564,46,17,37.0,25,54.3,337,2209,934,25,25,4,42,29,382,61,Matches
