,Touches,Take-Ons,Carries,Receiving,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Arsenal,24,55.3,23.0,14288,1163,3756,6107,4527,783,14286,448,189,42.2,203,45.3,8233,42671,22311,476,285,170,284,241,9881,1033,,,,,
Aston Villa,23,49.7,22.0,12483,1482,4350,5328,2935,549,12480,398,188,47.2,160,40.2,7067,38712,20297,378,253,117,282,220,8371,726,,,,,
Bournemouth,28,46.1,23.0,12666,1380,3829,5357,3645,630,12659,409,176,43.0,185,45.2,6842,39470,20836,438,301,145,356,227,7317,911,,,,,
Brentford,26,47.4,22.0,12701,2055,5150,4694,2969,514,12698,348,142,40.8,163,46.8,6887,37132,18843,346,222,116,300,184,7917,795,,,,,
Brighton,30,53.1,23.0,14468,1634,4687,6297,3653,634,14467,502,209,41.6,247,49.2,8487,47554,26075,506,361,159,345,217,9666,961,,,,,
Chelsea,27,57.7,23.0,15399,1420,4699,6953,3870,697,15396,496,210,42.3,216,43.5,8945,47532,25676,530,305,194,284,183,10979,940,,,,,
Crystal Palace,25,43.7,22.0,12206,1495,4496,5164,2672,452,12204,284,119,41.9,138,48.6,6247,31619,15295,307,214,82,278,211,7251,716,,,,,
Everton,24,40.1,22.0,11035,1415,3987,4423,2768,409,11034,416,187,45.0,200,48.1,5209,28909,14266,290,215,81,302,238,6380,595,,,,,
Fulham,25,52.9,22.0,14115,1525,4700,5806,3756,562,14111,393,182,46.3,145,36.9,8451,43150,22196,476,329,141,282,166,9590,901,,,,,
Ipswich Town,31,40.1,23.0,11598,1838,4787,4519,2411,364,11596,362,163,45.0,157,43.4,5928,32545,15527,301,203,91,334,210,7003,540,,,,,
Leicester City,27,46.1,22.0,12873,1694,4731,5830,2440,393,12871,426,171,40.1,207,48.6,7372,36721,18268,349,213,85,289,202,8223,640,,,,,
Liverpool,24,58.0,22.0,15221,1317,4060,6816,4475,789,15216,378,183,48.4,165,43.7,8930,45766,24509,493,330,197,291,209,10757,1134,,,,,
Manchester City,26,61.1,23.0,17083,1270,3903,7078,6229,889,17081,453,220,48.6,166,36.6,10858,62574,34224,719,531,262,267,231,12989,1194,,,,,
Manchester Utd,25,53.7,22.0,14502,1422,5001,6333,3304,542,14499,381,162,42.5,191,50.1,8938,44337,21878,379,268,138,277,207,9930,794,,,,,
Newcastle Utd,24,51.1,23.0,14105,1462,4753,5875,3614,639,14102,419,181,43.2,181,43.2,8451,44319,21991,449,280,163,281,304,9395,941,,,,,
Nott'ham Forest,23,40.1,23.0,11348,1482,3904,4421,3173,499,11346,378,169,44.7,144,38.1,5323,30190,16281,398,261,115,335,194,6343,642,,,,,
Southampton,31,52.0,23.0,14541,1891,5293,6252,3103,458,14539,430,179,41.6,197,45.8,8116,42645,22256,420,297,110,276,222,10139,738,,,,,
Tottenham,28,57.6,22.0,14674,1483,4624,6059,4142,662,14673,470,192,40.9,230,48.9,9095,50379,25766,533,361,162,308,242,10046,1039,,,,,
West Ham,26,46.9,22.0,12769,1700,4700,5429,2769,506,12766,462,208,45.0,197,42.6,6418,33577,17203,370,225,117,278,241,8041,712,,,,,
Wolves,26,47.1,23.0,13056,1665,4784,5707,2720,440,13055,419,189,45.1,170,40.6,7043,40004,20681,361,272,100,335,211,8237,712,,,,,
