,Standard,Expected,,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-039,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-283,2006,1.8,0,2,0,0.0,1.13,0.00,0.00,,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches,,,,
3,Tyler Adams,us USA,MF,Bournemouth,25-364,1999,9.6,0,5,1,20.0,0.52,0.10,0.00,0.00,17.2,0,0,0,1.1,1.1,0.21,-1.1,-1.1,Matches,,,,
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-141,1997,9.1,1,9,2,22.2,0.98,0.22,0.11,0.50,11.8,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches,,,,
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-042,2002,6.6,2,14,4,28.6,2.11,0.60,0.14,0.50,15.4,0,0,0,1.5,1.5,0.10,+0.5,+0.5,Matches,,,,
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-240,1997,4.0,0,1,0,0.0,0.25,0.00,0.00,,29.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,,,,
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-137,2005,0.1,0,1,0,0.0,15.00,0.00,0.00,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,,,,
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-127,1996,23.1,2,7,2,28.6,0.30,0.09,0.29,1.00,22.8,0,0,0,0.6,0.6,0.08,+1.4,+1.4,Matches,,,,
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-251,2001,21.7,3,19,5,26.3,0.88,0.23,0.16,0.60,14.9,0,0,0,1.6,1.6,0.09,+1.4,+1.4,Matches,,,,
10,Kristoffer Ajer,no NOR,DF,Brentford,26-301,1998,8.8,0,4,2,50.0,0.45,0.23,0.00,0.00,9.1,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches,,,,
11,Manuel Akanji,ch SUI,DF,Manchester City,29-208,1995,19.0,0,10,1,10.0,0.53,0.05,0.00,0.00,16.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,,,,
12,Nathan Aké,nl NED,DF,Manchester City,29-360,1995,6.7,0,3,0,0.0,0.45,0.00,0.00,,10.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,,,,
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-074,2002,0.1,0,1,1,100.0,9.00,9.00,0.00,0.00,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,,,,
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-128,1998,19.3,1,30,5,16.7,1.56,0.26,0.03,0.20,24.8,2,0,0,1.2,1.2,0.04,-0.2,-0.2,Matches,,,,
15,Alisson,br BRA,GK,Liverpool,32-133,1992,14.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
16,Miguel Almirón,py PAR,FW,Newcastle Utd,31-002,1994,1.7,0,6,2,33.3,3.44,1.15,0.00,0.00,14.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches,,,,
17,Edson Álvarez,mx MEX,MF,West Ham,27-111,1997,13.7,0,11,1,9.1,0.81,0.07,0.00,0.00,26.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,,,,
18,Will Alves,eng ENG,FW,Leicester City,20-009,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
19,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-209,2006,0.3,0,1,0,0.0,3.21,0.00,0.00,,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,,,,
20,Joachim Andersen,dk DEN,DF,Crystal Palace,28-257,1996,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,,,,
21,Joachim Andersen,dk DEN,DF,Fulham,28-257,1996,14.7,0,9,2,22.2,0.61,0.14,0.00,0.00,16.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,,,,
22,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-098,2002,17.2,1,24,5,20.8,1.39,0.29,0.04,0.20,19.9,0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches,,,,
23,André,br BRA,MF,Wolves,23-211,2001,14.6,0,2,1,50.0,0.14,0.07,0.00,0.00,24.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,,,,
24,Michail Antonio,jm JAM,FW,West Ham,34-321,1990,9.3,1,19,4,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2,Matches,,,,
25,Antony,br BRA,"DF,MF",Manchester Utd,24-354,2000,1.6,0,6,3,50.0,3.83,1.91,0.00,0.00,15.8,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,,,
26,Julian Araujo,mx MEX,DF,Bournemouth,23-183,2001,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,,,,
