,Standard,Expected,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG
24,24.0,47,327,117,35.8,13.62,4.87,0.14,0.38,14.7,3,2,2,38.6,37.1,0.12,+8.4,+7.9
25,24.0,33,297,92,31.0,12.38,3.83,0.10,0.34,16.0,7,2,3,34.2,31.8,0.11,-1.2,-0.8
28,24.0,41,382,131,34.3,15.92,5.46,0.09,0.27,16.7,7,6,7,45.6,40.1,0.11,-4.6,-5.1
27,24.0,42,271,113,41.7,11.29,4.71,0.14,0.34,15.5,7,4,4,38.5,35.3,0.13,+3.5,+2.7
30,24.0,34,335,109,32.5,13.96,4.54,0.10,0.30,17.5,17,1,1,32.3,31.5,0.10,+1.7,+1.5
27,24.0,46,389,133,34.2,16.21,5.54,0.11,0.32,16.3,14,3,3,48.6,46.3,0.12,-2.6,-3.3
26,24.0,27,328,113,34.5,13.67,4.71,0.08,0.22,17.3,11,2,2,33.7,32.2,0.10,-6.7,-7.2
24,23.0,20,253,78,30.8,11.00,3.39,0.08,0.24,17.2,10,1,1,24.4,23.6,0.10,-4.4,-4.6
25,24.0,35,329,106,32.2,13.71,4.42,0.10,0.30,16.5,7,3,4,33.9,30.8,0.10,+1.1,+1.2
31,24.0,21,221,76,34.4,9.21,3.17,0.09,0.25,17.3,7,2,2,22.3,20.7,0.10,-1.3,-1.7
28,24.0,25,222,70,31.5,9.25,2.92,0.10,0.33,17.4,5,2,2,23.4,22.0,0.10,+1.6,+1.0
24,23.0,56,405,150,37.0,17.61,6.52,0.12,0.33,16.0,5,6,6,53.9,49.3,0.13,+2.1,+0.7
26,24.0,47,400,141,35.3,16.67,5.87,0.12,0.33,16.7,10,1,2,44.2,42.5,0.11,+2.8,+3.5
25,24.0,27,316,102,32.3,13.17,4.25,0.08,0.24,17.2,7,3,3,33.8,31.5,0.10,-6.8,-7.5
24,24.0,41,336,106,31.5,14.00,4.42,0.12,0.37,15.9,8,2,3,41.3,38.9,0.12,-0.3,+0.1
23,24.0,39,307,110,35.8,12.79,4.58,0.12,0.33,17.6,12,3,3,31.7,29.4,0.10,+7.3,+6.6
33,24.0,17,229,71,31.0,9.54,2.96,0.07,0.24,15.9,5,0,2,23.7,21.9,0.10,-6.7,-4.9
29,24.0,45,345,125,36.2,14.37,5.21,0.13,0.36,16.3,8,0,1,39.7,38.9,0.12,+5.3,+6.1
26,24.0,28,328,90,27.4,13.67,3.75,0.08,0.28,16.5,8,3,3,31.9,29.6,0.09,-3.9,-4.6
26,24.0,34,254,103,40.6,10.58,4.29,0.13,0.33,18.3,7,0,0,25.7,25.7,0.10,+8.3,+8.3
