,Standard,Expected,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,24,23.0,42,315,110,34.9,13.70,4.78,0.13,0.36,14.7,3,2,2,37.6,36.1,0.12,+4.4,+3.9,,,
Aston Villa,23,22.0,32,273,85,31.1,12.41,3.86,0.11,0.35,15.7,6,2,3,32.9,30.5,0.12,-0.9,-0.5,,,
Bournemouth,28,23.0,41,368,128,34.8,16.00,5.57,0.10,0.27,16.7,7,6,7,44.1,38.6,0.11,-3.1,-3.6,,,
Brentford,26,22.0,40,240,105,43.8,10.91,4.77,0.15,0.35,15.2,5,3,3,35.2,32.8,0.14,+4.8,+4.2,,,
Brighton,30,23.0,34,325,104,32.0,14.13,4.52,0.10,0.32,17.5,16,1,1,31.5,30.7,0.10,+2.5,+2.3,,,
Chelsea,27,23.0,45,367,130,35.4,15.96,5.65,0.11,0.32,16.2,13,3,3,46.8,44.5,0.12,-1.8,-2.5,,,
Crystal Palace,25,22.0,24,301,105,34.9,13.68,4.77,0.07,0.21,17.3,9,2,2,30.1,28.5,0.10,-6.1,-6.5,,,
Everton,24,22.0,16,240,71,29.6,10.91,3.23,0.06,0.21,17.4,10,1,1,21.9,21.1,0.09,-5.9,-6.1,,,
Fulham,25,22.0,33,305,100,32.8,13.86,4.55,0.10,0.30,16.6,7,3,4,31.7,28.5,0.10,+1.3,+1.5,,,
Ipswich Town,31,23.0,20,206,70,34.0,8.96,3.04,0.09,0.26,17.1,5,2,2,20.5,18.9,0.09,-0.5,-0.9,,,
Leicester City,27,22.0,23,201,66,32.8,9.14,3.00,0.10,0.32,17.3,4,2,2,21.5,20.1,0.10,+1.5,+0.9,,,
Liverpool,24,22.0,54,387,144,37.2,17.59,6.55,0.13,0.34,15.9,5,5,5,51.4,47.6,0.13,+2.6,+1.4,,,
Manchester City,26,23.0,46,393,137,34.9,17.09,5.96,0.11,0.33,16.8,10,1,2,43.6,41.9,0.11,+2.4,+3.1,,,
Manchester Utd,25,22.0,26,295,99,33.6,13.41,4.50,0.08,0.23,17.2,6,3,3,32.5,30.2,0.10,-6.5,-7.2,,,
Newcastle Utd,24,23.0,40,325,102,31.4,14.13,4.43,0.12,0.37,16.0,8,2,3,40.4,38.1,0.12,-0.4,-0.1,,,
Nott'ham Forest,23,23.0,33,294,102,34.7,12.78,4.43,0.11,0.30,17.8,12,2,2,28.4,26.8,0.09,+4.6,+4.2,,,
Southampton,31,23.0,15,220,67,30.5,9.57,2.91,0.07,0.22,15.9,5,0,2,22.8,21.0,0.10,-7.8,-6.0,,,
Tottenham,28,22.0,43,317,117,36.9,14.41,5.32,0.14,0.37,16.1,7,0,1,37.8,37.0,0.12,+5.2,+6.0,,,
West Ham,26,22.0,26,300,82,27.3,13.64,3.73,0.08,0.28,16.4,7,3,3,29.4,27.1,0.09,-3.4,-4.1,,,
Wolves,26,23.0,32,246,98,39.8,10.70,4.26,0.13,0.33,18.3,6,0,0,23.9,23.9,0.10,+8.1,+8.1,,,
