,Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-022,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-266,2006,2,2,160,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,7,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,,,,,,,
3,Tyler Adams,us USA,MF,Bournemouth,25-347,1999,13,8,776,8.6,0,3,3,0,0,0,4,0,1.1,1.1,0.7,1.8,5,35,2,0.00,0.35,0.35,0.00,0.35,0.12,0.08,0.21,0.12,0.21,Matches,,,,,,,
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-124,1997,11,8,733,8.1,1,0,1,1,0,0,2,0,0.6,0.6,0.0,0.6,1,20,1,0.12,0.00,0.12,0.12,0.12,0.07,0.00,0.07,0.07,0.07,Matches,,,,,,,
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-025,2002,15,6,553,6.1,2,1,3,2,0,0,0,0,1.4,1.4,0.9,2.3,20,8,72,0.33,0.16,0.49,0.33,0.49,0.23,0.15,0.38,0.23,0.38,Matches,,,,,,,
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-223,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,,,,,,,
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-120,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79,Matches,,,,,,,
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-110,1996,23,23,"1,991",22.1,2,1,3,2,0,0,2,0,0.6,0.6,0.6,1.1,45,78,40,0.09,0.05,0.14,0.09,0.14,0.03,0.03,0.05,0.03,0.05,Matches,,,,,,,
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-234,2001,22,22,"1,881",20.9,3,5,8,3,0,0,6,1,1.5,1.5,2.3,3.8,52,73,102,0.14,0.24,0.38,0.14,0.38,0.07,0.11,0.18,0.07,0.18,Matches,,,,,,,
10,Kristoffer Ajer,no NOR,DF,Brentford,26-284,1998,10,9,717,8.0,0,0,0,0,0,0,3,0,0.5,0.5,0.7,1.2,15,27,16,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15,Matches,,,,,,,
11,Manuel Akanji,ch SUI,DF,Manchester City,29-191,1995,19,19,"1,617",18.0,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,36,126,6,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches,,,,,,,
12,Nathan Aké,nl NED,DF,Manchester City,29-343,1995,9,7,602,6.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,11,39,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,,,,,,,
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-057,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48,Matches,,,,,,,
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-111,1998,21,20,"1,665",18.5,1,6,7,1,0,0,4,0,1.0,1.0,6.3,7.4,40,155,75,0.05,0.32,0.38,0.05,0.38,0.05,0.34,0.40,0.05,0.40,Matches,,,,,,,
15,Alisson,br BRA,GK,Liverpool,32-116,1992,14,14,"1,248",13.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,,,,,,,
16,Miguel Almirón,py PAR,FW,Newcastle Utd,30-351,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.8,3,6,18,0.00,0.00,0.00,0.00,0.00,0.30,0.14,0.44,0.30,0.44,Matches,,,,,,,
17,Edson Álvarez,mx MEX,MF,West Ham,27-094,1997,18,13,"1,141",12.7,0,0,0,0,0,0,7,1,0.2,0.2,0.6,0.8,14,50,13,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.06,0.02,0.06,Matches,,,,,,,
18,Will Alves,eng ENG,FW,Leicester City,19-358,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
19,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-192,2006,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.07,0.22,0.29,0.07,0.29,Matches,,,,,,,
20,Joachim Andersen,dk DEN,DF,Crystal Palace,28-240,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,,,,,,,
21,Joachim Andersen,dk DEN,DF,Fulham,28-240,1996,13,13,"1,143",12.7,0,0,0,0,0,0,2,1,0.2,0.2,0.2,0.5,6,52,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,,,,,,,
22,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-081,2002,22,18,"1,471",16.3,1,5,6,1,0,0,5,0,1.1,1.1,2.8,3.9,33,72,57,0.06,0.31,0.37,0.06,0.37,0.07,0.17,0.24,0.07,0.24,Matches,,,,,,,
23,André,br BRA,MF,Wolves,23-194,2001,18,16,"1,222",13.6,0,0,0,0,0,0,3,0,0.1,0.1,0.5,0.6,5,46,4,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.01,0.04,Matches,,,,,,,
24,Michail Antonio,jm JAM,FW,West Ham,34-304,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,Matches,,,,,,,
25,Antony,br BRA,"DF,MF",Manchester Utd,24-337,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.65,0.08,0.73,0.65,0.73,Matches,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,,,,,
26,Julian Araujo,mx MEX,DF,Bournemouth,23-166,2001,8,5,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,14,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
27,Cameron Archer,eng ENG,FW,Southampton,23-189,2001,21,10,"1,047",11.6,2,0,2,2,0,1,0,0,4.4,3.6,0.3,4.0,14,11,46,0.17,0.00,0.17,0.17,0.17,0.38,0.03,0.41,0.31,0.34,Matches,,,,,,,
28,Alphonse Areola,fr FRA,GK,West Ham,31-334,1993,11,10,910,10.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
29,Joe Aribo,ng NGA,MF,Southampton,28-189,1996,22,14,"1,375",15.3,2,0,2,2,0,0,1,0,2.3,2.3,1.5,3.8,29,53,53,0.13,0.00,0.13,0.13,0.13,0.15,0.10,0.25,0.15,0.25,Matches,,,,,,,
30,Adam Armstrong,eng ENG,"FW,MF",Southampton,27-351,1997,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches,,,,,,,
31,Harrison Armstrong,eng ENG,MF,Everton,18-007,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0.00,0.00,0.00,0.00,0.00,0.69,0.14,0.82,0.69,0.82,Matches,,,,,,,
32,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-115,1994,16,16,"1,440",16.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
33,Brandon Austin,eng ENG,GK,Tottenham,26-018,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
