Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Liverpool,22,16,5,1,54,21,+33,53,2.41,51.4,19.2,+32.2,+1.46,W,"60,276",Mohamed Salah,Alisson,
2,Arsenal,23,13,8,2,44,21,+23,47,2.04,37.6,20.4,+17.2,+0.75,W,"60,269",Kai Havertz,David Raya,
3,Nott'ham Forest,23,13,5,5,33,27,+6,44,1.91,28.5,25.8,+2.7,+0.12,W,"30,046",Chris Wood,Matz Sels,
4,Manchester City,23,12,5,6,47,30,+17,41,1.78,43.4,33.1,+10.2,+0.45,W,"52,969",Erling Haaland,Ederson,
5,Newcastle Utd,23,12,5,6,41,27,+14,41,1.78,40.5,27.8,+12.7,+0.55,W,"52,187",Alexander Isak,Nick Pope,
6,Chelsea,23,11,7,5,45,30,+15,40,1.74,47.0,33.0,+14.0,+0.61,L,"39,622",Cole Palmer,Robert Sánchez,
7,Bournemouth,23,11,7,5,41,26,+15,40,1.74,44.0,28.7,+15.3,+0.67,D,"11,211",Justin Kluivert,Kepa Arrizabalaga,
8,Aston Villa,23,10,7,6,34,35,-1,37,1.61,33.7,28.2,+5.6,+0.24,D,"41,878",Ollie Watkins,Emiliano Martínez,
9,Brighton,23,8,10,5,35,31,+4,34,1.48,31.4,33.1,-1.6,-0.07,D,"32,529",Danny Welbeck,Bart Verbruggen,
10,Fulham,23,8,9,6,34,31,+3,33,1.43,32.4,26.8,+5.5,+0.24,D,"26,480",Raúl Jiménez,Bernd Leno,
11,Brentford,23,9,4,10,42,40,+2,31,1.35,36.4,38.6,-2.1,-0.09,L,"19,532",Bryan Mbeumo,Mark Flekken,
12,Manchester Utd,23,8,5,10,28,32,-4,29,1.26,32.8,33.9,-1.1,-0.05,L,"73,717",Amad Diallo,André Onana,
13,Crystal Palace,23,6,9,8,26,30,-4,27,1.17,31.2,31.3,-0.2,-0.01,W,"25,137",Jean-Philippe Mateta,Dean Henderson,
14,West Ham,23,7,6,10,28,44,-16,27,1.17,30.7,39.9,-9.3,-0.40,L,"62,468",Tomáš Souček,Łukasz Fabiański,
15,Tottenham,23,7,3,13,46,37,+9,24,1.04,38.8,38.5,+0.4,+0.02,D,"61,335",James Maddison,Guglielmo Vicario,
16,Everton,22,5,8,9,19,28,-9,23,1.05,21.9,29.7,-7.8,-0.35,L,"37,809",Iliman Ndiaye,Jordan Pickford,
17,Leicester City,23,4,5,14,25,49,-24,17,0.74,23.1,44.2,-21.1,-0.92,L,"31,556",Jamie Vardy,Mads Hermansen,
18,Wolves,23,4,4,15,32,52,-20,16,0.70,24.1,39.0,-14.9,-0.65,D,"30,650",Matheus Cunha,José Sá,
19,Ipswich Town,23,3,7,13,21,47,-26,16,0.70,20.5,47.0,-26.5,-1.15,W,"29,744",Liam Delap,Arijanet Muric,
20,Southampton,23,1,3,19,16,53,-37,6,0.26,22.8,54.0,-31.3,-1.36,L,"31,133",Adam Armstrong,Aaron Ramsdale,
