,Tackles,Challenges,Blocks,,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Arsenal,24,23.0,444,273,267,132,45,204,394,51.8,190,237,93,144,151,595,596,15,,,,,
vs Aston Villa,24,23.0,411,235,190,158,63,176,372,47.3,196,258,87,171,218,629,466,17,,,,,
vs Bournemouth,28,23.0,411,243,204,168,39,185,361,51.2,176,248,99,149,161,572,565,29,,,,,
vs Brentford,26,23.0,362,218,153,139,70,173,324,53.4,151,215,57,158,182,544,569,20,,,,,
vs Brighton,30,23.0,464,264,235,172,57,247,457,54.0,210,264,105,159,201,665,523,21,,,,,
vs Chelsea,27,23.0,399,223,198,157,44,216,427,50.6,211,270,108,162,184,583,487,24,,,,,
vs Crystal Palace,26,23.0,365,208,122,180,63,146,269,54.3,123,259,94,165,220,585,485,21,,,,,
vs Everton,24,22.0,438,275,210,169,59,200,387,51.7,187,219,58,161,129,567,454,14,,,,,
vs Fulham,25,23.0,329,199,153,132,44,155,341,45.5,186,260,85,175,223,552,581,11,,,,,
vs Ipswich Town,31,23.0,367,214,160,144,63,157,320,49.1,163,221,60,161,154,521,417,10,,,,,
vs Leicester City,28,23.0,416,256,151,188,77,210,389,54.0,179,221,58,163,175,591,457,17,,,,,
vs Liverpool,24,22.0,374,233,210,126,38,165,348,47.4,183,265,103,162,184,558,591,26,,,,,
vs Manchester City,26,23.0,396,235,244,113,39,165,385,42.9,220,298,108,190,188,584,565,23,,,,,
vs Manchester Utd,25,23.0,414,263,212,159,43,199,364,54.7,165,297,95,202,202,616,466,13,,,,,
vs Newcastle Utd,24,23.0,485,283,206,204,75,181,362,50.0,181,285,99,186,191,676,523,20,,,,,
vs Nott'ham Forest,23,23.0,338,209,152,124,62,143,313,45.7,170,226,77,149,178,516,502,21,,,,,
vs Southampton,31,23.0,418,253,159,186,73,197,377,52.3,180,226,74,152,204,622,433,5,,,,,
vs Tottenham,28,23.0,496,310,241,186,69,238,436,54.6,198,331,86,245,266,762,587,27,,,,,
vs West Ham,26,23.0,465,272,199,193,73,213,436,48.9,223,265,100,165,188,653,472,14,,,,,
vs Wolves,26,23.0,382,237,142,178,62,170,360,47.2,190,242,63,179,192,574,441,21,,,,,
