,Tackles,Challenges,Blocks,,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,24,23.0,385,232,142,167,76,168,340,49.4,172,216,76,140,149,534,389,19,,,,,
Aston Villa,24,23.0,405,233,189,163,53,186,333,55.9,147,204,68,136,160,565,461,26,,,,,
Bournemouth,28,23.0,446,269,186,195,65,188,394,47.7,206,286,87,199,222,668,594,13,,,,,
Brentford,26,23.0,380,233,183,129,68,188,352,53.4,164,290,122,168,181,561,650,18,,,,,
Brighton,30,23.0,402,241,157,178,67,197,408,48.3,211,278,81,197,189,591,431,13,,,,,
Chelsea,27,23.0,350,222,159,141,50,166,344,48.3,178,228,70,158,171,521,376,25,,,,,
Crystal Palace,26,23.0,490,291,241,188,61,208,422,49.3,214,302,80,222,194,684,597,10,,,,,
Everton,24,22.0,449,262,229,158,62,209,390,53.6,181,219,82,137,208,657,588,14,,,,,
Fulham,25,23.0,402,233,190,164,48,167,337,49.6,170,227,61,166,206,608,463,18,,,,,
Ipswich Town,31,23.0,369,204,184,138,47,170,387,43.9,217,252,103,149,203,572,614,27,,,,,
Leicester City,28,23.0,461,265,233,176,52,202,421,48.0,219,323,119,204,201,662,593,15,,,,,
Liverpool,24,22.0,372,230,153,161,58,197,368,53.5,171,216,50,166,170,542,377,10,,,,,
Manchester City,26,23.0,301,183,113,122,66,138,279,49.5,141,199,57,142,139,440,347,19,,,,,
Manchester Utd,25,23.0,484,289,225,185,74,228,429,53.1,201,220,63,157,245,729,407,16,,,,,
Newcastle Utd,24,23.0,371,235,160,151,60,184,364,50.5,180,262,87,175,180,551,497,19,,,,,
Nott'ham Forest,23,23.0,422,257,256,127,39,195,380,51.3,185,266,93,173,217,639,681,11,,,,,
Southampton,31,23.0,379,221,165,167,47,157,339,46.3,182,280,127,153,180,559,559,39,,,,,
Tottenham,28,23.0,417,272,175,173,69,198,390,50.8,192,261,84,177,194,611,423,26,,,,,
West Ham,26,23.0,401,248,197,151,53,176,338,52.1,162,288,103,185,204,605,580,18,,,,,
Wolves,26,23.0,493,287,275,173,45,222,414,53.6,192,293,97,196,185,678,557,16,,,,,
