,SCA,SCA Types,GCA,GCA Types,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Arsenal,24,23.0,429,18.65,320,28,22,26,24,9,38,1.65,23,4,1,3,5,2,,,,,
vs Aston Villa,24,23.0,481,20.91,362,33,30,26,20,10,59,2.57,44,3,3,3,4,2,,,,,
vs Bournemouth,28,23.0,574,24.96,425,54,37,26,21,11,47,2.04,33,3,6,3,2,0,,,,,
vs Brentford,26,23.0,758,32.96,609,42,35,44,16,12,66,2.87,57,0,2,5,1,1,,,,,
vs Brighton,30,23.0,458,19.91,332,42,33,28,18,5,50,2.17,31,2,5,6,5,1,,,,,
vs Chelsea,27,23.0,446,19.39,324,31,24,26,29,12,50,2.17,31,2,6,4,5,2,,,,,
vs Crystal Palace,26,23.0,532,23.13,388,48,30,42,14,10,50,2.17,34,1,4,6,2,3,,,,,
vs Everton,24,22.0,508,23.09,381,46,25,29,19,8,46,2.09,38,2,3,1,0,2,,,,,
vs Fulham,25,23.0,432,18.78,296,46,35,19,30,6,51,2.22,40,3,3,3,1,1,,,,,
vs Ipswich Town,31,23.0,627,27.26,482,36,40,38,20,11,85,3.70,63,3,6,6,6,1,,,,,
vs Leicester City,28,23.0,693,30.13,509,53,40,50,27,14,86,3.74,70,4,4,6,2,0,,,,,
vs Liverpool,24,22.0,359,16.32,266,30,19,20,22,2,36,1.64,28,3,2,1,2,0,,,,,
vs Manchester City,26,23.0,409,17.78,322,30,18,19,12,8,56,2.43,45,3,3,1,3,1,,,,,
vs Manchester Utd,25,23.0,445,19.35,314,37,36,30,23,5,57,2.48,42,6,2,3,3,1,,,,,
vs Newcastle Utd,24,23.0,529,23.00,388,39,32,36,23,11,45,1.96,35,3,3,0,2,2,,,,,
vs Nott'ham Forest,23,23.0,540,23.48,408,45,36,31,15,5,48,2.09,35,2,4,5,2,0,,,,,
vs Southampton,31,23.0,739,32.13,533,54,39,54,32,27,85,3.70,51,9,7,10,4,4,,,,,
vs Tottenham,28,23.0,504,21.91,374,40,36,35,11,8,63,2.74,44,5,4,7,2,1,,,,,
vs West Ham,26,23.0,671,29.17,527,47,21,38,25,13,73,3.17,54,4,6,2,5,2,,,,,
vs Wolves,26,23.0,563,24.48,398,61,32,31,33,8,87,3.78,57,10,5,6,8,1,,,,,
