,Goals,Expected,Launched,Passes,Goal Kicks,Crosses,Sweeper,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Arsenal,1,23.0,44,2,0,8,2,39.9,0.36,-2.1,-0.09,117,361,32.4,677,73,41.8,36.5,180,43.3,34.8,374,28,7.5,17,0.74,10.2,,,,,,,,
vs Aston Villa,2,22.0,33,2,0,6,1,32.4,0.35,+0.4,+0.02,88,212,41.5,515,92,31.1,32.2,144,36.1,31.2,258,22,8.5,31,1.41,13.6,,,,,,,,
vs Bournemouth,3,23.0,41,6,1,3,0,45.5,0.30,+4.5,+0.20,153,392,39.0,768,94,39.3,35.7,203,44.3,35.7,378,27,7.1,31,1.35,14.5,,,,,,,,
vs Brentford,2,22.0,40,3,0,2,0,40.8,0.36,+0.8,+0.03,114,338,33.7,687,110,39.4,35.1,140,47.9,37.3,298,26,8.7,43,1.95,16.4,,,,,,,,
vs Brighton,2,23.0,35,1,1,2,1,36.1,0.34,+2.1,+0.09,132,387,34.1,847,121,35.4,33.1,189,46.0,37.2,332,21,6.3,37,1.61,15.2,,,,,,,,
vs Chelsea,2,23.0,45,3,2,4,0,47.8,0.35,+2.8,+0.12,112,348,32.2,713,110,37.9,34.5,185,42.2,35.2,285,22,7.7,27,1.17,13.3,,,,,,,,
vs Crystal Palace,1,22.0,25,2,0,6,1,29.5,0.27,+5.5,+0.25,114,284,40.1,737,128,30.3,30.7,144,42.4,35.9,292,22,7.5,28,1.27,13.7,,,,,,,,
vs Everton,1,22.0,19,1,1,1,3,17.7,0.23,+1.7,+0.08,63,171,36.8,640,109,18.8,27.3,141,36.2,32.0,296,20,6.8,18,0.82,12.8,,,,,,,,
vs Fulham,1,22.0,34,3,0,1,1,33.9,0.30,+0.9,+0.04,78,272,28.7,567,85,37.2,35.1,174,35.1,32.6,368,18,4.9,33,1.50,15.9,,,,,,,,
vs Ipswich Town,2,23.0,21,2,0,4,1,23.0,0.30,+3.0,+0.13,49,230,21.3,742,69,24.4,29.6,112,43.8,36.5,227,24,10.6,23,1.00,13.4,,,,,,,,
vs Leicester City,3,22.0,23,2,0,3,0,23.6,0.33,+0.6,+0.03,79,211,37.4,579,85,27.3,31.1,138,38.4,33.5,267,24,9.0,26,1.18,14.0,,,,,,,,
vs Liverpool,3,22.0,54,5,0,3,0,52.8,0.33,-1.2,-0.06,116,312,37.2,636,107,35.5,33.7,208,41.3,33.5,379,23,6.1,27,1.23,12.4,,,,,,,,
vs Manchester City,2,23.0,47,1,0,5,1,44.6,0.32,-1.4,-0.06,108,337,32.0,728,85,36.8,34.2,188,36.7,33.2,304,23,7.6,19,0.83,12.5,,,,,,,,
vs Manchester Utd,1,22.0,27,3,0,4,1,28.1,0.26,+2.1,+0.10,81,276,29.3,684,86,31.1,31.7,143,44.1,36.9,268,19,7.1,45,2.05,16.1,,,,,,,,
vs Newcastle Utd,2,23.0,41,2,0,3,1,38.7,0.35,-1.3,-0.06,145,422,34.4,689,108,47.2,37.5,183,53.0,40.2,324,27,8.3,29,1.26,13.5,,,,,,,,
vs Nott'ham Forest,1,23.0,33,2,0,4,0,31.8,0.29,-1.2,-0.05,55,181,30.4,609,103,25.5,29.1,150,17.3,22.2,281,17,6.0,31,1.35,14.5,,,,,,,,
vs Southampton,3,23.0,16,0,0,1,1,18.9,0.25,+3.9,+0.17,73,242,30.2,603,82,32.3,33.1,111,42.3,35.2,283,23,8.1,19,0.83,13.2,,,,,,,,
vs Tottenham,4,22.0,45,0,1,7,2,37.0,0.31,-6.0,-0.27,142,388,36.6,565,92,49.4,39.6,178,61.2,45.1,346,28,8.1,22,1.00,12.6,,,,,,,,
vs West Ham,2,22.0,27,3,1,4,1,26.4,0.28,+0.4,+0.02,111,296,37.5,661,87,37.1,34.4,142,35.9,31.7,255,24,9.4,19,0.86,13.1,,,,,,,,
vs Wolves,2,23.0,32,0,0,3,0,26.7,0.27,-5.3,-0.23,92,255,36.1,666,104,30.6,32.4,147,34.7,31.7,247,16,6.5,32,1.39,15.1,,,,,,,,
