,Goals,Expected,Launched,Passes,Goal Kicks,Crosses,Sweeper,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,1,24.0,22,2,1,4,0,21.7,0.25,-0.3,-0.01,114,333,34.2,748,102,35.0,31.4,124,57.3,42.4,260,33,12.7,35,1.46,15.8,,,,,,,,
Aston Villa,2,24.0,37,1,1,1,0,34.2,0.33,-2.8,-0.12,106,251,42.2,730,82,26.3,29.6,170,34.7,31.1,332,38,11.4,20,0.83,13.0,,,,,,,,
Bournemouth,3,24.0,28,2,1,3,0,38.0,0.30,+10.0,+0.42,128,312,41.0,553,100,37.6,33.7,185,56.2,43.3,306,15,4.9,36,1.50,15.3,,,,,,,,
Brentford,2,24.0,42,1,0,2,2,39.0,0.27,-1.0,-0.04,158,430,36.7,952,82,35.2,33.7,216,44.0,36.9,388,29,7.5,25,1.04,11.9,,,,,,,,
Brighton,2,24.0,38,6,1,4,2,33.4,0.30,-2.6,-0.11,84,237,35.4,797,95,25.1,25.1,143,25.9,24.5,278,20,7.2,39,1.63,15.4,,,,,,,,
Chelsea,2,23.0,30,5,0,2,0,32.0,0.26,+2.0,+0.09,60,258,23.3,780,135,30.6,31.4,122,15.6,19.6,231,30,13.0,45,1.96,15.3,,,,,,,,
Crystal Palace,1,24.0,30,1,0,2,2,31.0,0.33,+3.0,+0.13,97,386,25.1,587,73,48.9,38.4,190,52.1,42.6,358,19,5.3,31,1.29,15.0,,,,,,,,
Everton,1,23.0,28,0,0,5,0,30.0,0.31,+2.0,+0.09,193,507,38.1,773,99,53.2,41.1,176,54.5,44.3,340,19,5.6,46,2.00,16.2,,,,,,,,
Fulham,1,24.0,32,1,0,4,1,28.3,0.29,-2.7,-0.11,78,230,33.9,731,95,24.2,28.7,162,32.7,29.8,306,18,5.9,21,0.88,13.1,,,,,,,,
Ipswich Town,2,24.0,49,5,0,2,0,46.4,0.32,-2.6,-0.11,114,337,33.8,671,121,35.5,35.2,183,54.1,41.5,354,50,14.1,21,0.88,7.6,,,,,,,,
Leicester City,3,24.0,53,1,0,3,2,51.0,0.37,0.0,0.00,128,400,32.0,703,125,44.0,32.0,209,43.5,33.4,401,24,6.0,22,0.92,20.7,,,,,,,,
Liverpool,3,23.0,21,0,0,1,0,23.2,0.29,+2.2,+0.10,66,195,33.8,629,95,26.4,25.4,130,22.3,23.9,218,9,4.1,35,1.52,15.4,,,,,,,,
Manchester City,2,24.0,35,3,0,2,1,34.8,0.36,+0.8,+0.04,82,183,44.8,770,90,20.3,28.2,121,22.3,24.5,215,11,5.1,37,1.54,17.4,,,,,,,,
Manchester Utd,1,24.0,34,3,0,9,1,34.1,0.34,+1.1,+0.04,80,299,26.8,805,100,29.7,29.3,148,40.5,32.2,253,16,6.3,17,0.71,11.7,,,,,,,,
Newcastle Utd,2,24.0,29,0,0,1,1,31.8,0.30,+3.8,+0.16,54,227,23.8,565,144,23.9,25.5,170,54.1,42.9,335,29,8.7,39,1.63,14.5,,,,,,,,
Nott'ham Forest,1,24.0,27,1,1,3,0,29.0,0.28,+2.0,+0.09,165,452,36.5,411,47,77.4,45.5,207,64.7,46.3,432,16,3.7,5,0.21,7.7,,,,,,,,
Southampton,3,24.0,54,4,0,9,0,52.1,0.32,-1.9,-0.08,142,409,34.7,800,118,42.4,30.0,190,36.8,31.5,346,27,7.8,20,0.83,18.0,,,,,,,,
Tottenham,4,24.0,37,2,0,3,2,39.1,0.37,+4.1,+0.17,36,106,34.0,652,120,14.9,27.2,182,4.9,15.6,317,31,9.8,29,1.21,11.1,,,,,,,,
West Ham,2,23.0,44,3,1,5,2,39.2,0.30,-2.8,-0.12,140,367,38.1,696,100,37.2,35.4,200,54.0,40.9,361,16,4.4,25,1.09,13.7,,,,,,,,
Wolves,2,24.0,52,5,1,10,3,41.2,0.32,-7.8,-0.33,109,376,29.0,669,98,45.7,36.6,160,43.8,35.5,386,27,7.0,38,1.58,13.4,,,,,,,,
