,Playing Time,Performance,Penalty Kicks,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Arsenal,1,23,23,"2,070",23.0,44,1.91,112,70,62.5,2,8,13,3,13.0,2,2,0,0,0.0,,,,
vs Aston Villa,2,23,23,"2,070",23.0,34,1.48,92,58,65.2,6,7,10,5,21.7,3,2,1,0,33.3,,,,
vs Bournemouth,3,23,23,"2,070",23.0,41,1.78,135,93,74.1,5,7,11,4,17.4,7,6,1,0,14.3,,,,
vs Brentford,2,23,23,"2,070",23.0,42,1.83,114,72,66.7,10,4,9,5,21.7,4,4,0,0,0.0,,,,
vs Brighton,2,23,23,"2,070",23.0,35,1.52,105,71,67.6,5,10,8,3,13.0,1,1,0,0,0.0,,,,
vs Chelsea,2,23,23,"2,070",23.0,45,1.96,133,88,68.4,5,7,11,3,13.0,3,3,0,0,0.0,,,,
vs Crystal Palace,1,23,23,"2,070",23.0,26,1.13,112,87,78.6,8,9,6,6,26.1,2,2,0,0,0.0,,,,
vs Everton,1,22,22,"1,980",22.0,19,0.86,72,56,75.0,9,8,5,12,54.5,1,1,0,0,0.0,,,,
vs Fulham,1,23,23,"2,070",23.0,34,1.48,106,72,70.8,6,9,8,3,13.0,4,3,1,0,25.0,,,,
vs Ipswich Town,2,23,23,"2,070",23.0,21,0.91,72,52,73.6,13,7,3,9,39.1,2,2,0,0,0.0,,,,
vs Leicester City,3,23,23,"2,070",23.0,25,1.09,71,46,67.6,14,5,4,6,26.1,2,2,0,0,0.0,,,,
vs Liverpool,3,22,22,"1,980",22.0,54,2.45,149,95,67.1,1,5,16,1,4.5,5,5,0,0,0.0,,,,
vs Manchester City,2,23,23,"2,070",23.0,47,2.04,139,92,66.9,6,5,12,2,8.7,2,1,1,0,50.0,,,,
vs Manchester Utd,1,23,23,"2,070",23.0,28,1.22,103,76,75.7,10,5,8,8,34.8,3,3,0,0,0.0,,,,
vs Newcastle Utd,2,23,23,"2,070",23.0,41,1.78,105,64,62.9,6,5,12,3,13.0,3,2,1,0,33.3,,,,
vs Nott'ham Forest,1,23,23,"2,070",23.0,33,1.43,104,71,70.2,5,5,13,4,17.4,2,2,0,0,0.0,,,,
vs Southampton,3,23,23,"2,070",23.0,16,0.70,69,52,76.8,19,3,1,10,43.5,2,0,2,0,100.0,,,,
vs Tottenham,4,23,23,"2,070",23.0,46,2.00,124,79,62.9,13,3,7,4,17.4,1,0,1,0,100.0,,,,
vs West Ham,2,23,23,"2,070",23.0,28,1.22,88,61,71.6,10,6,7,5,21.7,3,3,0,0,0.0,,,,
vs Wolves,2,23,23,"2,070",23.0,32,1.39,98,66,67.3,15,4,4,5,21.7,0,0,0,0,,,,,
