,Performance,Aerial Duels,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Arsenal,24,23.0,59,1,1,257,259,25,326,151,273,2,2,2,830,289,304,48.7,,,
vs Aston Villa,23,22.0,60,1,0,291,253,50,384,205,216,1,3,1,897,234,207,53.1,,,
vs Bournemouth,28,23.0,61,2,1,240,298,23,390,161,244,0,7,0,1065,390,332,54.0,,,
vs Brentford,26,22.0,47,2,2,209,167,33,487,181,205,1,3,0,991,324,361,47.3,,,
vs Brighton,30,23.0,62,3,2,268,262,65,334,201,264,4,1,1,957,278,308,47.4,,,
vs Chelsea,27,23.0,67,2,1,285,259,59,304,183,223,6,3,0,917,231,228,50.3,,,
vs Crystal Palace,25,22.0,46,2,2,254,227,27,420,219,199,1,2,1,1025,381,309,55.2,,,
vs Everton,24,22.0,25,1,0,224,255,37,426,127,276,2,1,3,945,310,323,49.0,,,
vs Fulham,25,22.0,46,3,1,240,238,55,358,215,190,1,4,1,909,308,288,51.7,,,
vs Ipswich Town,31,23.0,36,1,1,244,260,26,441,154,214,5,2,1,970,314,325,49.1,,,
vs Leicester City,27,22.0,43,2,1,242,233,30,449,167,253,1,2,0,974,310,303,50.6,,,
vs Liverpool,24,22.0,58,0,0,215,250,53,286,184,233,1,5,0,898,190,247,43.5,,,
vs Manchester City,26,23.0,52,1,1,229,160,53,268,188,233,3,2,1,804,198,188,51.3,,,
vs Manchester Utd,25,22.0,44,1,0,216,239,30,313,196,254,3,3,1,983,271,250,52.0,,,
vs Newcastle Utd,24,23.0,65,1,0,304,229,36,412,190,284,0,3,1,1031,275,282,49.4,,,
vs Nott'ham Forest,23,23.0,68,2,2,269,240,24,523,178,211,1,2,0,945,342,345,49.8,,,
vs Southampton,31,23.0,40,1,0,279,279,32,433,203,253,3,2,1,989,224,272,45.2,,,
vs Tottenham,28,22.0,55,3,0,298,236,49,369,253,295,2,1,2,932,248,237,51.1,,,
vs West Ham,26,22.0,33,0,0,225,247,25,458,179,257,3,3,1,946,312,337,48.1,,,
vs Wolves,26,23.0,56,2,1,245,292,51,467,192,236,6,0,0,994,285,268,51.5,,,
