,Performance,Aerial Duels,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,24,23.0,51,4,2,264,250,50,477,149,232,2,2,0,883,304,289,51.3,,,
Aston Villa,24,23.0,50,2,1,274,299,29,360,160,233,3,2,0,883,226,251,47.4,,,
Bournemouth,28,23.0,59,0,0,309,233,41,502,222,269,7,1,0,1161,333,390,46.1,,,
Brentford,26,23.0,35,1,0,180,205,47,392,180,233,4,1,1,993,380,341,52.7,,,
Brighton,30,23.0,51,1,1,273,262,25,429,189,241,1,5,1,1022,309,278,52.6,,,
Chelsea,27,23.0,68,1,1,269,276,40,376,171,222,3,6,0,959,229,231,49.8,,,
Crystal Palace,26,23.0,47,1,0,247,257,39,387,193,291,2,2,2,1063,326,400,44.9,,,
Everton,24,22.0,48,1,0,261,216,56,376,208,262,0,2,0,920,323,311,50.9,,,
Fulham,25,23.0,51,2,0,248,239,30,520,205,232,3,1,1,959,302,321,48.5,,,
Ipswich Town,31,23.0,60,2,2,270,234,34,304,203,204,2,5,0,879,325,314,50.9,,,
Leicester City,28,23.0,56,0,0,254,241,39,362,198,263,2,1,2,912,321,329,49.4,,,
Liverpool,24,22.0,45,1,0,255,208,28,447,170,230,3,1,0,971,247,190,56.5,,,
Manchester City,26,23.0,46,1,1,168,229,28,416,139,183,2,3,1,868,188,199,48.6,,,
Manchester Utd,25,23.0,54,2,1,256,215,46,338,246,289,3,4,1,1044,263,285,48.0,,,
Newcastle Utd,24,23.0,44,1,0,236,296,47,411,180,235,3,0,1,1043,282,275,50.6,,,
Nott'ham Forest,23,23.0,54,2,2,246,260,62,356,217,257,2,1,0,951,345,343,50.1,,,
Southampton,31,23.0,66,3,0,284,271,30,358,180,221,2,4,0,844,272,224,54.8,,,
Tottenham,28,23.0,45,1,1,252,307,41,499,193,269,1,2,2,1049,257,265,49.2,,,
West Ham,26,23.0,56,3,2,271,230,48,367,203,250,2,3,2,985,354,331,51.7,,,
Wolves,26,23.0,53,2,2,303,236,41,327,185,287,0,6,3,1001,268,285,48.5,,,
