,Total,Short,Medium,Long,,Expected,,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,24,24.0,10334,12380,83.5,170818,54455,5207,5693,91.5,4241,4800,88.4,700,1347,52.0,36,29.2,28.5,+6.8,259,835,257,44,1088,,,,,,,,
Aston Villa,25,24.0,9353,11299,82.8,160362,55751,4273,4745,90.1,4228,4757,88.9,679,1265,53.7,26,24.9,23.1,+1.1,224,703,193,34,812,,,,,,,,
Bournemouth,28,24.0,7738,10194,75.9,142575,54987,3317,3856,86.0,3441,4087,84.2,848,1766,48.0,30,30.7,23.8,-0.7,293,765,206,55,960,,,,,,,,
Brentford,27,24.0,8718,11112,78.5,157978,59664,3868,4455,86.8,3835,4515,84.9,870,1667,52.2,27,28.1,24.0,-1.1,210,700,196,55,880,,,,,,,,
Brighton,30,24.0,10259,12352,83.1,175762,60011,4881,5390,90.6,4283,4868,88.0,878,1540,57.0,22,22.9,23.4,-0.9,233,768,209,57,1023,,,,,,,,
Chelsea,27,24.0,11597,13673,84.8,199478,63166,5248,5740,91.4,5233,5788,90.4,885,1574,56.2,34,36.7,28.1,-2.7,295,935,213,41,1005,,,,,,,,
Crystal Palace,26,24.0,7744,10244,75.6,140531,52406,3325,3883,85.6,3538,4201,84.2,741,1664,44.5,21,25.8,20.9,-4.8,240,593,170,41,772,,,,,,,,
Everton,24,23.0,6819,8970,76.0,128884,51647,3065,3531,86.8,2710,3210,84.4,924,1761,52.5,12,18.4,17.0,-6.4,186,623,157,48,625,,,,,,,,
Fulham,25,24.0,10495,12794,82.0,185175,62224,4741,5278,89.8,4576,5198,88.0,968,1726,56.1,31,26.4,23.4,+4.6,266,845,216,66,989,,,,,,,,
Ipswich Town,31,24.0,7547,9646,78.2,132215,49793,3498,3944,88.7,3242,3791,85.5,658,1407,46.8,14,15.4,14.3,-1.4,170,565,105,31,596,,,,,,,,
Leicester City,28,24.0,8992,11240,80.0,150015,54936,4402,4913,89.6,3646,4206,86.7,702,1495,47.0,20,18.8,18.4,+1.2,173,644,146,44,701,,,,,,,,
Liverpool,24,23.0,11250,13342,84.3,188510,63896,5465,5935,92.1,4717,5335,88.4,820,1499,54.7,43,39.8,35.1,+3.2,321,964,287,58,1180,,,,,,,,
Manchester City,26,24.0,13623,15443,88.2,219877,62067,7100,7648,92.8,5528,6039,91.5,801,1259,63.6,35,37.0,36.8,-2.0,326,1019,295,46,1248,,,,,,,,
Manchester Utd,25,24.0,10951,13210,82.9,179735,58564,5427,5993,90.6,4439,5000,88.8,776,1513,51.3,19,26.1,22.5,-7.1,250,751,193,39,910,,,,,,,,
Newcastle Utd,24,24.0,9832,12057,81.5,164097,59327,4873,5449,89.4,4060,4612,88.0,709,1433,49.5,31,32.0,28.3,-1.0,263,731,233,41,997,,,,,,,,
Nott'ham Forest,23,24.0,6678,8921,74.9,112840,46648,3444,3953,87.1,2334,2923,79.8,646,1440,44.9,28,22.8,20.7,+5.2,221,559,143,30,686,,,,,,,,
Southampton,33,24.0,10566,12491,84.6,177619,56882,5011,5484,91.4,4570,5081,89.9,743,1388,53.5,11,17.8,16.9,-6.8,181,686,153,41,763,,,,,,,,
Tottenham,29,24.0,10988,13237,83.0,181005,61750,5183,5764,89.9,4807,5410,88.9,691,1292,53.5,36,31.1,26.2,+4.9,260,880,268,53,1119,,,,,,,,
West Ham,26,24.0,8735,10988,79.5,156151,56509,4008,4568,87.7,3677,4268,86.2,903,1659,54.4,16,22.0,21.0,-6.0,225,660,175,50,769,,,,,,,,
Wolves,26,24.0,8526,10723,79.5,149744,51577,3935,4435,88.7,3524,4037,87.3,841,1648,51.0,28,21.2,14.9,+6.8,190,638,179,44,739,,,,,,,,
