,Pass Types,Corner Kicks,Outcomes,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Arsenal,24,23.0,9618,8663,930,300,27,50,327,315,68,38,16,1,7727,25,151,,,,
vs Aston Villa,24,23.0,10877,9936,887,293,32,55,406,282,101,71,16,2,9105,54,165,,,,
vs Bournemouth,28,23.0,11413,10167,1223,338,41,32,389,492,126,80,22,3,8982,23,234,,,,
vs Brentford,26,23.0,11667,10685,948,215,37,49,504,361,158,90,33,0,9428,34,197,,,,
vs Brighton,30,23.0,10518,9432,1021,285,43,52,334,374,115,85,12,2,8411,65,207,,,,
vs Chelsea,27,23.0,9695,8668,968,282,41,30,304,347,86,50,20,0,7720,59,187,,,,
vs Crystal Palace,26,23.0,12778,11710,1041,274,47,49,438,430,135,87,24,6,10375,27,258,,,,
vs Everton,24,22.0,12816,11745,1034,304,44,59,426,414,134,88,17,3,10687,37,173,,,,
vs Fulham,25,23.0,10985,9953,975,257,47,53,365,375,103,75,15,2,8936,57,189,,,,
vs Ipswich Town,31,23.0,13726,12698,1002,287,56,65,441,409,150,88,23,1,11578,26,174,,,,
vs Leicester City,28,23.0,12794,11734,1025,274,36,77,483,414,147,90,23,0,10622,35,244,,,,
vs Liverpool,24,22.0,9305,8273,979,268,32,52,286,337,90,49,14,2,7364,53,190,,,,
vs Manchester City,26,23.0,9579,8702,824,191,40,60,268,303,72,49,11,6,7913,53,159,,,,
vs Manchester Utd,25,23.0,10957,9970,955,288,37,47,336,369,100,68,18,0,8889,32,182,,,,
vs Newcastle Utd,24,23.0,10929,9889,1004,273,47,41,412,363,121,60,30,0,8764,36,223,,,,
vs Nott'ham Forest,23,23.0,12873,11796,1053,295,28,59,523,407,145,93,28,0,10649,24,204,,,,
vs Southampton,31,23.0,11207,10244,931,297,48,46,433,333,151,101,20,3,9326,32,175,,,,
vs Tottenham,28,23.0,9374,8305,1018,286,40,56,385,351,128,81,23,2,7321,51,209,,,,
vs West Ham,26,23.0,11975,10873,1075,306,59,53,475,431,134,64,28,3,9743,27,211,,,,
vs Wolves,26,23.0,11760,10640,1069,323,36,45,467,391,153,99,24,0,9615,51,229,,,,
