,Pass Types,Corner Kicks,Outcomes,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Arsenal,24,23.0,11950,10949,951,268,43,50,477,369,150,138,3,2,9971,50,174,,,,
Aston Villa,24,23.0,10695,9648,1018,348,57,35,360,308,142,100,15,1,8836,29,210,,,,
Bournemouth,28,23.0,9745,8681,1023,245,37,44,502,407,144,106,11,3,7392,41,194,,,,
Brentford,26,23.0,10577,9570,960,233,42,38,392,353,102,80,2,0,8301,47,177,,,,
Brighton,30,23.0,11777,10769,983,315,49,50,429,355,120,77,26,1,9782,25,186,,,,
Chelsea,27,23.0,13043,12005,998,327,57,64,376,359,137,90,9,2,11061,40,181,,,,
Crystal Palace,26,23.0,9928,8905,984,278,35,36,387,358,112,64,16,1,7541,39,190,,,,
Everton,24,22.0,8484,7466,962,242,18,42,376,412,89,50,19,9,6434,56,184,,,,
Fulham,25,23.0,12298,11226,1042,293,30,73,520,423,117,50,49,0,10102,30,205,,,,
Ipswich Town,31,23.0,9068,8104,930,257,31,39,304,327,96,74,11,1,7064,34,187,,,,
Leicester City,28,23.0,10704,9618,1047,275,42,29,362,416,80,53,14,1,8568,39,191,,,,
Liverpool,24,22.0,12878,11888,962,258,39,81,447,391,150,99,29,1,10881,28,190,,,,
Manchester City,26,23.0,14938,13932,978,272,55,49,416,363,176,81,22,2,13181,28,221,,,,
Manchester Utd,25,23.0,12589,11603,940,240,51,68,338,395,109,57,21,9,10456,46,221,,,,
Newcastle Utd,24,23.0,11603,10461,1095,326,56,56,411,423,136,88,13,2,9466,47,199,,,,
Nott'ham Forest,23,23.0,8569,7533,974,268,35,29,356,355,101,53,42,0,6404,62,175,,,,
Southampton,31,23.0,12061,11077,954,301,35,35,358,295,102,69,19,0,10239,30,179,,,,
Tottenham,28,23.0,12770,11541,1188,354,39,44,499,428,177,79,35,0,10610,41,292,,,,
West Ham,26,23.0,10676,9652,976,251,40,89,367,355,103,53,40,0,8509,48,200,,,,
Wolves,26,23.0,10439,9402,996,284,27,80,327,406,74,44,21,2,8312,41,203,,,,
