,Playing Time,Starts,Subs,Team Success,Team Success (xG),Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Arsenal,24,26.6,23,"2,070",90,100,23.0,253,83,155,97,22,110,0.61,21,44,-23,-1.00,20.2,37.6,-17.4,-0.76,,,,,,
vs Aston Villa,23,26.9,22,"1,980",90,100,22.0,242,81,149,93,18,105,1.09,34,33,+1,+0.05,26.9,32.9,-6.0,-0.27,,,,,,
vs Bournemouth,28,27.0,23,"2,070",90,100,23.0,253,83,161,91,22,116,0.96,26,41,-15,-0.65,28.6,44.1,-15.5,-0.67,,,,,,
vs Brentford,26,27.2,22,"1,980",90,100,22.0,242,84,144,96,19,102,1.55,39,40,-1,-0.05,37.5,35.2,+2.3,+0.11,,,,,,
vs Brighton,30,26.9,23,"2,070",90,100,23.0,253,81,154,97,20,110,1.09,31,35,-4,-0.17,33.1,31.5,+1.6,+0.07,,,,,,
vs Chelsea,27,27.1,23,"2,070",90,100,23.0,253,84,161,90,21,117,0.96,30,45,-15,-0.65,33.2,46.8,-13.6,-0.59,,,,,,
vs Crystal Palace,25,26.7,22,"1,980",90,100,22.0,242,84,152,88,19,110,1.36,28,25,+3,+0.14,30.1,30.1,0.0,0.00,,,,,,
vs Everton,24,26.7,22,"1,980",90,100,22.0,242,84,153,88,18,109,1.59,28,19,+9,+0.41,29.7,21.9,+7.8,+0.35,,,,,,
vs Fulham,25,27.1,22,"1,980",90,100,22.0,242,83,147,94,17,103,1.09,30,34,-4,-0.18,26.6,31.7,-5.1,-0.23,,,,,,
vs Ipswich Town,31,27.1,23,"2,070",90,100,23.0,253,83,156,96,18,111,2.00,47,21,+26,+1.13,47.0,20.5,+26.5,+1.15,,,,,,
vs Leicester City,27,27.0,22,"1,980",90,100,22.0,242,83,146,96,19,101,2.14,48,23,+25,+1.14,43.1,21.5,+21.6,+0.98,,,,,,
vs Liverpool,24,26.7,22,"1,980",90,100,22.0,242,82,150,92,22,106,0.36,21,54,-33,-1.50,19.2,51.4,-32.2,-1.46,,,,,,
vs Manchester City,26,26.9,23,"2,070",90,100,23.0,253,85,161,91,18,115,1.00,30,47,-17,-0.74,32.9,43.6,-10.6,-0.46,,,,,,
vs Manchester Utd,25,27.0,22,"1,980",90,100,22.0,242,81,149,92,17,106,1.59,32,27,+5,+0.23,33.2,32.5,+0.7,+0.03,,,,,,
vs Newcastle Utd,24,26.8,23,"2,070",90,100,23.0,253,83,153,99,20,107,1.00,27,41,-14,-0.61,27.8,40.4,-12.6,-0.55,,,,,,
vs Nott'ham Forest,23,26.9,23,"2,070",90,100,23.0,253,82,153,99,18,108,0.87,27,33,-6,-0.26,25.9,28.4,-2.5,-0.11,,,,,,
vs Southampton,31,26.8,23,"2,070",90,100,23.0,253,80,157,95,20,110,2.61,53,16,+37,+1.61,54.0,22.8,+31.2,+1.36,,,,,,
vs Tottenham,28,26.9,22,"1,980",90,100,22.0,242,82,152,89,18,109,1.77,35,45,-10,-0.45,36.9,37.8,-0.9,-0.04,,,,,,
vs West Ham,26,26.9,22,"1,980",90,100,22.0,242,80,147,95,19,103,1.59,43,27,+16,+0.73,39.1,29.4,+9.7,+0.44,,,,,,
vs Wolves,26,26.9,23,"2,070",90,100,23.0,253,83,153,98,19,109,2.13,52,32,+20,+0.87,39.0,23.9,+15.0,+0.65,,,,,,
