,Playing Time,Starts,Subs,Team Success,Team Success (xG),Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Arsenal,24,26.4,24,"2,160",90,100,24.0,264,83,174,87,17,129,2.08,49,22,+27,+1.13,38.6,21.2,+17.4,+0.73,,,,,,
Aston Villa,25,27.6,24,"2,160",90,100,24.0,264,80,158,106,24,110,1.54,34,37,-3,-0.12,34.2,29.8,+4.4,+0.18,,,,,,
Bournemouth,28,25.8,24,"2,160",90,100,24.0,264,83,161,103,19,113,1.67,41,28,+13,+0.54,45.6,31.2,+14.4,+0.60,,,,,,
Brentford,27,26.5,24,"2,160",90,100,24.0,264,85,175,89,16,127,1.29,42,42,0,0.00,38.5,39.4,-0.9,-0.04,,,,,,
Brighton,30,25.7,24,"2,160",90,100,24.0,264,81,148,115,20,101,1.42,35,38,-3,-0.12,32.3,36.3,-4.0,-0.17,,,,,,
Chelsea,27,24.1,24,"2,160",90,100,24.0,264,83,172,91,19,125,1.79,47,31,+16,+0.67,48.6,34.2,+14.4,+0.60,,,,,,
Crystal Palace,26,26.8,24,"2,160",90,100,24.0,264,84,176,87,18,129,1.25,28,30,-2,-0.08,33.7,32.4,+1.4,+0.06,,,,,,
Everton,24,29.1,23,"2,070",90,100,23.0,253,84,180,72,20,134,1.13,23,28,-5,-0.22,24.4,30.0,-5.6,-0.24,,,,,,
Fulham,25,28.5,24,"2,160",90,100,24.0,264,83,152,111,16,105,1.50,36,32,+4,+0.17,33.9,27.6,+6.3,+0.26,,,,,,
Ipswich Town,31,26.4,24,"2,160",90,100,24.0,264,83,152,110,16,106,0.67,22,49,-27,-1.13,22.3,47.9,-25.6,-1.07,,,,,,
Leicester City,28,27.2,24,"2,160",90,100,24.0,264,83,163,101,18,115,0.71,25,53,-28,-1.17,23.4,46.6,-23.2,-0.97,,,,,,
Liverpool,24,27.7,23,"2,070",90,100,23.0,253,83,157,95,19,112,2.43,56,21,+35,+1.52,53.9,20.8,+33.1,+1.44,,,,,,
Manchester City,26,27.8,24,"2,160",90,100,24.0,264,85,188,75,18,137,1.71,48,35,+13,+0.54,44.2,34.1,+10.0,+0.42,,,,,,
Manchester Utd,25,26.3,24,"2,160",90,100,24.0,264,81,159,104,22,112,1.21,28,34,-6,-0.25,33.8,36.4,-2.6,-0.11,,,,,,
Newcastle Utd,24,27.7,24,"2,160",90,100,24.0,264,83,161,102,18,114,1.71,42,29,+13,+0.54,41.3,29.4,+11.9,+0.49,,,,,,
Nott'ham Forest,23,26.9,24,"2,160",90,100,24.0,264,82,146,116,18,99,1.96,40,27,+13,+0.54,31.7,26.7,+5.0,+0.21,,,,,,
Southampton,33,26.1,24,"2,160",90,100,24.0,264,80,150,113,23,103,0.38,18,54,-36,-1.50,23.7,55.9,-32.2,-1.34,,,,,,
Tottenham,29,25.9,24,"2,160",90,100,24.0,264,83,168,97,20,118,1.13,48,37,+11,+0.46,39.7,40.5,-0.8,-0.03,,,,,,
West Ham,26,28.9,24,"2,160",90,100,24.0,264,80,149,112,23,104,1.13,29,46,-17,-0.71,31.9,41.5,-9.7,-0.40,,,,,,
Wolves,26,27.4,24,"2,160",90,100,24.0,264,83,161,102,18,113,0.79,34,52,-18,-0.75,25.7,39.4,-13.7,-0.57,,,,,,
