,Touches,Take-Ons,Carries,Receiving,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Arsenal,24,44.7,23.0,12081,1795,4671,4723,2832,387,12079,395,171,43.3,168,42.5,6577,36234,19233,398,276,105,278,216,7642,599,,,,,
vs Aston Villa,23,50.3,22.0,12753,1312,3850,5812,3203,488,12751,348,132,37.9,169,48.6,7285,39313,20371,397,282,119,285,209,8608,768,,,,,
vs Bournemouth,28,53.9,23.0,14198,1734,5133,5767,3446,589,14197,443,205,46.3,189,42.7,7698,41798,20281,417,287,117,397,257,8875,811,,,,,
vs Brentford,26,52.6,22.0,13818,1439,3964,5378,4585,792,13817,373,160,42.9,180,48.3,7682,40603,21709,521,358,205,291,184,9091,1002,,,,,
vs Brighton,30,46.9,23.0,13105,1786,5296,5390,2548,532,13100,457,211,46.2,197,43.1,7211,37297,18327,351,187,144,298,205,8328,719,,,,,
vs Chelsea,27,42.3,23.0,12088,1774,4831,4896,2515,464,12082,408,178,43.6,167,40.9,6584,36278,18231,360,232,107,259,184,7632,698,,,,,
vs Crystal Palace,25,56.3,22.0,14851,1420,4492,6880,3626,525,14850,452,204,45.1,198,43.8,8222,44542,22929,408,288,109,333,277,9997,884,,,,,
vs Everton,24,59.9,22.0,15250,1368,4904,6722,3748,572,15248,435,180,41.4,209,48.0,9282,47564,25333,423,323,124,319,240,10579,962,,,,,
vs Fulham,25,47.1,22.0,12900,1523,4315,5695,3014,445,12899,379,167,44.1,160,42.2,7055,38746,19672,348,262,93,302,226,8437,764,,,,,
vs Ipswich Town,31,59.9,23.0,16069,1410,4868,6860,4480,701,16064,432,217,50.2,170,39.4,9812,50369,25493,502,343,187,284,199,11472,1001,,,,,
vs Leicester City,27,53.9,22.0,14692,1231,4067,6478,4288,721,14691,461,213,46.2,192,41.6,8394,43875,22565,429,304,148,298,243,10054,1056,,,,,
vs Liverpool,24,42.0,22.0,11801,1951,4896,4604,2433,414,11800,422,171,40.5,197,46.7,6048,35589,18267,355,223,132,306,175,7304,622,,,,,
vs Manchester City,26,38.9,23.0,11985,1975,5162,4560,2369,429,11982,320,140,43.8,138,43.1,6780,35072,17352,360,213,106,273,163,7855,546,,,,,
vs Manchester Utd,25,46.3,22.0,12905,1471,4302,5748,2989,461,12900,450,197,43.8,218,48.4,7237,37995,19548,386,295,119,288,248,8359,673,,,,,
vs Newcastle Utd,24,48.9,23.0,13590,1588,4330,5773,3627,558,13590,417,179,42.9,184,44.1,7855,41027,21188,418,302,138,304,188,8685,811,,,,,
vs Nott'ham Forest,23,59.9,23.0,15388,1276,4197,6890,4445,657,15387,428,185,43.2,195,45.6,8957,53283,30479,606,407,155,350,228,10458,1214,,,,,
vs Southampton,31,48.0,23.0,13624,1310,3990,5641,4139,776,13620,391,182,46.5,157,40.2,7824,40414,21207,484,297,189,234,222,9235,906,,,,,
vs Tottenham,28,42.4,22.0,11665,1589,4325,4471,3000,552,11663,426,182,42.7,194,45.5,6313,33140,16331,367,234,131,273,213,6991,708,,,,,
vs West Ham,26,53.1,22.0,14040,1475,4411,5969,3799,665,14037,358,154,43.0,159,44.4,8157,43600,23167,481,294,151,301,211,9330,964,,,,,
vs Wolves,26,52.9,23.0,14328,1366,4190,6191,4089,683,14322,477,191,40.0,221,46.3,7867,43067,22696,508,319,166,311,272,9523,956,,,,,
