,Touches,Take-Ons,Carries,Receiving,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Arsenal,24,55.2,23.0,14295,1164,3760,6110,4528,783,14293,453,190,41.9,204,45.0,8235,42636,22289,475,284,170,283,240,9884,1034,,,,,
Aston Villa,24,49.5,23.0,13050,1553,4572,5537,3077,573,13047,429,196,45.7,177,41.3,7346,40580,21297,403,265,122,295,234,8694,763,,,,,
Bournemouth,28,46.1,23.0,12676,1383,3833,5366,3646,628,12669,412,176,42.7,185,44.9,6854,39610,20950,443,301,147,360,226,7321,911,,,,,
Brentford,26,47.7,23.0,13225,2138,5361,4867,3115,546,13221,370,152,41.1,173,46.8,7112,38543,19540,363,233,121,314,189,8188,823,,,,,
Brighton,30,53.1,23.0,14475,1634,4693,6300,3651,634,14474,504,210,41.7,247,49.0,8535,47791,26207,507,361,160,346,217,9671,959,,,,,
Chelsea,27,57.7,23.0,15407,1420,4703,6957,3872,696,15404,498,211,42.4,216,43.4,8977,47658,25725,530,307,193,284,183,10981,939,,,,,
Crystal Palace,26,43.9,23.0,12679,1561,4673,5345,2790,474,12677,298,123,41.3,146,49.0,6465,32753,15859,314,219,83,290,219,7485,742,,,,,
Everton,24,40.0,22.0,11037,1414,3989,4424,2767,409,11036,417,187,44.8,200,48.0,5258,29093,14300,290,215,81,302,238,6381,594,,,,,
Fulham,25,52.8,23.0,14745,1565,4870,6126,3903,583,14741,409,186,45.5,155,37.9,8859,45138,23261,503,347,147,289,174,10024,935,,,,,
Ipswich Town,31,40.1,23.0,11598,1838,4787,4519,2411,364,11596,362,163,45.0,157,43.4,5928,32545,15527,301,203,91,334,210,7003,540,,,,,
Leicester City,28,45.8,23.0,13383,1763,4900,6066,2556,408,13381,440,181,41.1,211,48.0,7667,37968,18879,364,225,89,302,208,8502,661,,,,,
Liverpool,24,58.0,22.0,15224,1317,4060,6820,4474,789,15219,378,183,48.4,165,43.7,8935,45836,24548,494,330,197,291,209,10761,1134,,,,,
Manchester City,26,61.1,23.0,17094,1271,3908,7082,6232,890,17092,452,220,48.7,165,36.5,10881,62746,34293,716,532,261,268,231,12998,1194,,,,,
Manchester Utd,25,53.5,23.0,15126,1498,5232,6613,3422,552,15123,393,165,42.0,198,50.4,9342,46316,22734,393,279,140,296,216,10355,835,,,,,
Newcastle Utd,24,51.1,23.0,14111,1462,4753,5879,3616,640,14108,419,181,43.2,181,43.2,8452,44339,21996,448,280,163,281,304,9398,941,,,,,
Nott'ham Forest,23,40.1,23.0,11352,1481,3905,4423,3174,500,11350,380,170,44.7,143,37.6,5355,30416,16336,401,262,117,335,195,6346,644,,,,,
Southampton,31,52.0,23.0,14550,1891,5293,6260,3103,458,14548,433,180,41.6,197,45.5,8119,42651,22273,421,297,111,277,221,10143,738,,,,,
Tottenham,28,57.8,23.0,15375,1539,4837,6379,4317,683,15374,486,198,40.7,240,49.4,9554,52705,26761,552,375,166,317,258,10525,1080,,,,,
West Ham,26,47.2,23.0,13414,1766,4896,5723,2930,543,13411,498,223,44.8,214,43.0,6795,35263,17936,386,236,123,296,251,8439,746,,,,,
Wolves,26,47.1,23.0,13065,1665,4789,5712,2719,440,13064,422,190,45.0,170,40.3,7052,40080,20693,361,271,100,335,212,8245,713,,,,,
