,Standard,Expected,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Arsenal,24,23.0,21,238,75,31.5,10.35,3.26,0.08,0.25,18.7,9,2,2,20.4,18.8,0.08,+0.6,+0.2,,,
vs Aston Villa,24,23.0,35,274,92,33.6,11.91,4.00,0.12,0.37,16.8,4,1,2,28.2,26.7,0.10,+6.8,+7.3,,,
vs Bournemouth,28,23.0,26,315,113,35.9,13.70,4.91,0.08,0.22,16.9,7,1,1,28.7,27.9,0.09,-2.7,-2.9,,,
vs Brentford,26,23.0,39,428,143,33.4,18.61,6.22,0.09,0.27,17.1,7,1,1,38.6,37.8,0.09,+0.4,+0.2,,,
vs Brighton,30,23.0,30,254,82,32.3,11.04,3.57,0.10,0.30,15.5,4,5,5,33.1,29.1,0.12,-3.1,-4.1,,,
vs Chelsea,27,23.0,30,249,101,40.6,10.83,4.39,0.10,0.25,17.6,15,5,6,33.0,28.3,0.12,-3.0,-3.3,,,
vs Crystal Palace,26,23.0,28,296,90,30.4,12.87,3.91,0.09,0.30,16.3,6,1,2,31.7,30.2,0.11,-3.7,-3.2,,,
vs Everton,24,22.0,28,288,92,31.9,13.09,4.18,0.10,0.30,16.2,8,0,2,29.7,28.0,0.10,-1.7,0.0,,,
vs Fulham,25,23.0,30,249,91,36.5,10.83,3.96,0.12,0.32,16.8,11,1,1,26.8,26.0,0.11,+3.2,+3.0,,,
vs Ipswich Town,31,23.0,47,347,124,35.7,15.09,5.39,0.12,0.34,16.5,10,5,5,47.0,43.1,0.13,0.0,-1.1,,,
vs Leicester City,28,23.0,47,391,131,33.5,17.00,5.70,0.12,0.35,15.8,13,1,1,44.2,43.4,0.11,+2.8,+2.6,,,
vs Liverpool,24,22.0,21,206,73,35.4,9.36,3.32,0.10,0.29,17.5,7,0,1,19.2,18.3,0.09,+1.8,+2.7,,,
vs Manchester City,26,23.0,29,227,85,37.4,9.87,3.70,0.11,0.31,15.5,2,3,3,33.1,30.8,0.14,-4.1,-4.8,,,
vs Manchester Utd,25,23.0,31,249,85,34.1,10.83,3.70,0.11,0.33,16.5,9,3,4,33.9,30.8,0.13,-2.9,-2.8,,,
vs Newcastle Utd,24,23.0,26,302,103,34.1,13.13,4.48,0.09,0.25,16.6,6,0,0,27.8,27.8,0.09,-1.8,-1.8,,,
vs Nott'ham Forest,23,23.0,27,307,95,30.9,13.35,4.13,0.08,0.27,17.5,7,1,1,25.8,25.0,0.08,+1.2,+1.0,,,
vs Southampton,31,23.0,53,417,147,35.3,18.13,6.39,0.12,0.33,16.1,8,4,4,54.0,51.1,0.13,-1.0,-2.1,,,
vs Tottenham,28,23.0,35,285,98,34.4,12.39,4.26,0.12,0.34,15.2,2,2,2,38.4,36.8,0.13,-3.4,-3.8,,,
vs West Ham,26,23.0,42,375,122,32.5,16.30,5.30,0.10,0.32,16.9,10,3,3,39.9,37.6,0.10,+2.1,+1.4,,,
vs Wolves,26,23.0,49,316,109,34.5,13.74,4.74,0.14,0.40,16.4,12,5,6,39.0,34.3,0.11,+10.0,+9.7,,,
