,Standard,Expected,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,24,23.0,42,315,110,34.9,13.70,4.78,0.13,0.36,14.7,3,2,2,37.6,36.1,0.12,+4.4,+3.9,,,
Aston Villa,24,23.0,33,287,89,31.0,12.48,3.87,0.11,0.35,15.8,7,2,3,33.7,31.4,0.11,-0.7,-0.4,,,
Bournemouth,28,23.0,41,368,128,34.8,16.00,5.57,0.10,0.27,16.7,7,6,7,44.0,38.5,0.11,-3.0,-3.5,,,
Brentford,26,23.0,42,251,110,43.8,10.91,4.78,0.15,0.35,15.5,6,4,4,36.4,33.3,0.14,+5.6,+4.7,,,
Brighton,30,23.0,34,325,104,32.0,14.13,4.52,0.10,0.32,17.5,16,1,1,31.4,30.7,0.10,+2.6,+2.3,,,
Chelsea,27,23.0,45,367,130,35.4,15.96,5.65,0.11,0.32,16.2,13,3,3,47.0,44.6,0.13,-2.0,-2.6,,,
Crystal Palace,26,23.0,25,317,110,34.7,13.78,4.78,0.07,0.21,17.4,11,2,2,31.2,29.6,0.10,-6.2,-6.6,,,
Everton,24,22.0,16,240,71,29.6,10.91,3.23,0.06,0.21,17.4,10,1,1,21.9,21.1,0.09,-5.9,-6.1,,,
Fulham,25,23.0,33,314,102,32.5,13.65,4.43,0.10,0.29,16.5,7,3,4,32.4,29.2,0.10,+0.6,+0.8,,,
Ipswich Town,31,23.0,20,206,70,34.0,8.96,3.04,0.09,0.26,17.1,5,2,2,20.5,18.9,0.09,-0.5,-0.9,,,
Leicester City,28,23.0,25,213,69,32.4,9.26,3.00,0.11,0.33,17.4,4,2,2,23.1,21.7,0.10,+1.9,+1.3,,,
Liverpool,24,22.0,54,387,144,37.2,17.59,6.55,0.13,0.34,15.9,5,5,5,51.4,47.6,0.13,+2.6,+1.4,,,
Manchester City,26,23.0,46,393,137,34.9,17.09,5.96,0.11,0.33,16.8,10,1,2,43.4,41.7,0.11,+2.6,+3.3,,,
Manchester Utd,25,23.0,27,299,100,33.4,13.00,4.35,0.08,0.24,17.3,7,3,3,32.8,30.4,0.10,-5.8,-6.4,,,
Newcastle Utd,24,23.0,40,325,102,31.4,14.13,4.43,0.12,0.37,16.0,8,2,3,40.5,38.1,0.12,-0.5,-0.1,,,
Nott'ham Forest,23,23.0,33,294,102,34.7,12.78,4.43,0.11,0.30,17.8,12,2,2,28.5,26.9,0.09,+4.5,+4.1,,,
Southampton,31,23.0,15,220,67,30.5,9.57,2.91,0.07,0.22,16.0,5,0,2,22.8,21.0,0.10,-7.8,-6.0,,,
Tottenham,28,23.0,44,332,123,37.0,14.43,5.35,0.13,0.36,16.2,8,0,1,38.8,38.0,0.12,+5.2,+6.0,,,
West Ham,26,23.0,27,314,85,27.1,13.65,3.70,0.08,0.28,16.3,7,3,3,30.7,28.4,0.09,-3.7,-4.4,,,
Wolves,26,23.0,32,246,98,39.8,10.70,4.26,0.13,0.33,18.3,6,0,0,24.1,24.1,0.10,+7.9,+7.9,,,
