,Playing Time,Performance,Expected,Progression,Per 90 Minutes,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Arsenal,24,26.6,44.8,23,253,"2,070",23.0,21,15,36,19,2,2,59,1,20.4,18.8,13.8,32.6,398,606,0.91,0.65,1.57,0.83,1.48,0.89,0.60,1.49,0.82,1.42,,,,,,
vs Aston Villa,24,27.0,50.5,23,253,"2,070",23.0,35,24,59,34,1,2,63,1,28.2,26.6,19.9,46.5,413,815,1.52,1.04,2.57,1.48,2.52,1.22,0.86,2.09,1.16,2.02,,,,,,
vs Bournemouth,28,27.0,53.9,23,253,"2,070",23.0,26,20,46,25,1,1,61,2,28.7,27.9,22.3,50.2,420,822,1.13,0.87,2.00,1.09,1.96,1.25,0.97,2.22,1.21,2.18,,,,,,
vs Brentford,26,27.2,52.3,23,253,"2,070",23.0,39,29,68,38,1,1,49,2,38.6,37.8,29.4,67.2,528,1038,1.70,1.26,2.96,1.65,2.91,1.68,1.28,2.96,1.64,2.92,,,,,,
vs Brighton,30,26.9,46.9,23,253,"2,070",23.0,30,18,48,25,5,5,62,3,33.1,29.1,25.1,54.2,351,728,1.30,0.78,2.09,1.09,1.87,1.44,1.09,2.53,1.27,2.36,,,,,,
vs Chelsea,27,27.1,42.3,23,253,"2,070",23.0,30,21,51,25,5,6,67,2,33.0,28.3,23.6,51.8,357,705,1.30,0.91,2.22,1.09,2.00,1.43,1.02,2.46,1.23,2.25,,,,,,
vs Crystal Palace,26,26.7,56.1,23,253,"2,070",23.0,28,22,50,27,1,2,48,2,31.3,29.7,24.5,54.2,425,919,1.22,0.96,2.17,1.17,2.13,1.36,1.06,2.43,1.29,2.36,,,,,,
vs Everton,24,26.7,60.0,22,242,"1,980",22.0,28,24,52,28,0,2,25,1,29.7,28.0,22.8,50.8,424,966,1.27,1.09,2.36,1.27,2.36,1.35,1.03,2.38,1.27,2.31,,,,,,
vs Fulham,25,27.1,47.2,23,253,"2,070",23.0,30,25,55,29,1,1,47,3,26.8,26.0,20.3,46.3,362,814,1.30,1.09,2.39,1.26,2.35,1.17,0.88,2.05,1.13,2.01,,,,,,
vs Ipswich Town,31,27.1,59.9,23,253,"2,070",23.0,47,30,77,42,5,5,36,1,47.0,43.1,34.7,77.8,503,1017,2.04,1.30,3.35,1.83,3.13,2.04,1.51,3.55,1.87,3.38,,,,,,
vs Leicester City,28,26.9,54.2,23,253,"2,070",23.0,47,36,83,46,1,1,44,2,44.2,43.4,33.2,76.6,448,1109,2.04,1.57,3.61,2.00,3.57,1.92,1.44,3.36,1.89,3.33,,,,,,
vs Liverpool,24,26.7,42.0,22,242,"1,980",22.0,21,17,38,21,0,1,58,0,19.2,18.3,14.8,33.1,355,632,0.95,0.77,1.73,0.95,1.73,0.87,0.67,1.55,0.83,1.51,,,,,,
vs Manchester City,26,26.9,38.9,23,253,"2,070",23.0,29,23,52,26,3,3,52,1,33.1,30.8,26.2,56.9,360,551,1.26,1.00,2.26,1.13,2.13,1.44,1.14,2.58,1.34,2.48,,,,,,
vs Manchester Utd,25,27.0,46.5,23,253,"2,070",23.0,31,22,53,28,3,4,44,1,33.9,30.8,24.9,55.7,413,713,1.35,0.96,2.30,1.22,2.17,1.47,1.08,2.55,1.34,2.42,,,,,,
vs Newcastle Utd,24,26.8,48.9,23,253,"2,070",23.0,26,25,51,26,0,0,65,1,27.8,27.8,22.0,49.9,419,816,1.13,1.09,2.22,1.13,2.22,1.21,0.96,2.17,1.21,2.17,,,,,,
vs Nott'ham Forest,23,26.9,59.9,23,253,"2,070",23.0,27,21,48,26,1,1,68,2,25.8,25.0,19.1,44.1,611,1228,1.17,0.91,2.09,1.13,2.04,1.12,0.83,1.95,1.09,1.92,,,,,,
vs Southampton,31,26.8,48.0,23,253,"2,070",23.0,53,36,89,49,4,4,40,1,54.0,51.1,40.3,91.4,483,911,2.30,1.57,3.87,2.13,3.70,2.35,1.75,4.10,2.22,3.97,,,,,,
vs Tottenham,28,27.0,42.2,23,253,"2,070",23.0,35,24,59,33,2,2,60,3,38.5,36.9,28.5,65.4,382,736,1.52,1.04,2.57,1.43,2.48,1.67,1.24,2.91,1.60,2.84,,,,,,
vs West Ham,26,26.9,52.8,23,253,"2,070",23.0,42,34,76,39,3,3,35,0,39.9,37.6,32.5,70.2,506,1007,1.83,1.48,3.30,1.70,3.17,1.74,1.42,3.15,1.64,3.05,,,,,,
vs Wolves,26,26.9,52.9,23,253,"2,070",23.0,49,36,85,44,5,6,56,2,39.0,34.3,28.5,62.8,507,963,2.13,1.57,3.70,1.91,3.48,1.69,1.24,2.94,1.49,2.73,,,,,,
